Song Title,Artists,BPM,Comments,Length
"I'm a Man (No Cut)","Bo Diddley","128","50s Doo Wop","3:00"

"I'm In Love Again (Dj Cut 2023)","Fat's Domino","124","50s Doo Wop-Honky Tonks","2:06"

"Im Walking (8ct looper)(Slow Start)","Fats Domino","109","50s Doo Wop/Pop/MensSports","2:13"

"It's Late","Ricky Nelson","81","50s Doo Wop","2:00"

"Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini (DJ Special 2023)","Brian Hyland","121","50s Doo Wop","2:35"

"Jailhouse Rock (Dj Special 2022 OK)","Elvis Presley","83","50s Doo Wop/Pop/MensSports","2:35"

"Jim Dandy (doubletime)","LaVern Baker","85","50s Doo Wop","2:11"

"Johnny B. Goode (4 Phrasae) [84bpm]","Chuck Berry","84","50s Doo Wop/MensSports","2:38"

"Juke","Little Walter and his Jukes","145","50s Doo Wop-Honky Tonks","2:44"

"Jump Children (looper 8ct doubletime)","The Flamingos","80","50s Doo Wop-Honky Tonks","2:33"

"Kansas City (2020 3.0 Remaster) (8ct looper)","Wilbert Harrison","116","50s Doo Wop-Honky Tonks","2:25"

"Keep A-Knockin' (Dj Special 2022)","Little Richard","85","50s Doo Wop","2:18"

"King Creole (doubletime)","Elvis Presley","90","50s Doo Wop-Honky Tonks","2:11"

"La Bamba (Original) (Dj Cut 2022)","Ritchie Valens","152","50s Doo Wop/Pop/MensSports","2:11"

"Last Night","Mar-Keys","125","50s Doo Wop","2:42"

"Let The Good Times Roll (141 bpm) (8ct Looper)SlowStart)","Shirley & Lee","141","50s Doo Wop/WMSport","2:26"

"Let's Go, Let's Go, Let's Go (8ct looper)","Hank Ballard and The Midnighters","128","50s Doo Wop","2:28"

"Lipstick On Your Collar","Connie Francis","83","50s Doo Wop","2:20"

"Little Bitty Pretty One (Tempo adjusted 2022)","Thurston Harris","89","50s Doo Wop-Honky Tonks","2:23"

"Little Darlin (4 phrase doubletime)","The Diamonds","152","50s Doo Wop","2:09"

"Little Girl of Mine (Dj cut 2022) (Tempo Adjusted)","The Cleftones","100","50s Doo Wop-Honky Tonks","3:09"

"Lollipop - 71.77","The Chordettes","143","50s Doo Wop/Pop/WMSport","2:11"

"Lonely Teardrops (91bpm)","Jackie Wilson","91","50s Doo Wop","2:40"

"Long Tall Sally (Dj Special 2022)","Little Richard","93","50s Doo Wop-Honky Tonks","2:15"

"Long Tall Sally (Elvis) [Dj special 2023]{4 Phrase}","Elvis Presley","93","50s Doo Wop-Honky Tonks","2:05"

"Love Potion No. 9 (The Clovers)[Dj Cut 2023]","The Clovers","130","50s Doo Wop","2:04"

"Mack the Knife - Bobby Darin","Bobby Darin","82","50s Doo Wop","3:06"

"Make Me Know It","Elvis Presley","93","50s Doo Wop-Honky Tonks","2:02"

"Monster Mash","Bobby 'Boris' Pickett","139","50s Doo Wop/MensSports","3:11"

"Mr Sandman (speeds-up to 115bpm)","The Chordettes","109","50s Doo Wop/Pop","2:22"

"Mr. Lee (doubletime)","The Bobbettes","100","50s Doo Wop-Honky Tonks","2:12"

"My Babe","Little Walter and his Jukes","80","50s Doo Wop-Honky Tonks","2:39"

"My Blue Heaven (Dj Cut 2024)","Fats Domino","89","50s Doo Wop-Honky Tonks","2:13"

"My Boyfriends Back (Dj Cut 2022)","Angels","135","50s Doo Wop/WMSport","2:06"

"No Particular Place to Go (Dj Special 2022)","Chuck Berry","130","50s Doo Wop","2:47"

"Oh Boy! - Buddy Holly (Dj Cut) (doubletime)","Buddy Holly","97","50s Doo Wop","2:12"

"Only Sixteen (Dj Special 2023)","Sam Cooke","110","50s Doo Wop-Honky Tonks","2:10"

"Ooh Poo Pah Doo - Original (Dj Cut 2022)","Jessie Hill","133","50s Doo Wop-Honky Tonks","4:12"

"Over and Over","Bobby Day","80","50s Doo Wop-Honky Tonks","2:19"

"Paralyzed (8 ct looper)","Elvis Presley","87","50s Doo Wop-Honky Tonks","2:27"

"Party Doll (Dj Cut) (doubletime)","Buddy Knox","89","50s Doo Wop-Honky Tonks","2:39"

"Peppermint Twist (Doubletime)","Dee","101","50s Doo Wop-Honky Tonks","1:57"

"Personality (Dj cut 2022)","Lloyd Price","130","50s Doo Wop","2:40"

"Poetry in Motion (Dj cut)","Johnny Tillotson","139","50s Doo Wop","2:15"

"Poison Ivy","The Coasters","138","50s Doo Wop-Honky Tonks","2:42"

"Pony Time (Dj Special 2023) [4 Phrase]","Chubby Checker","158","50s Doo Wop-Honky Tonks","2:33"

"Raindrops","Dee Clark","124","50s Doo Wop-Honky Tonks","2:54"

"Rang Tang Ding Dong (I Am the Japanese Sandman)","The Cellos","157","50s Doo Wop-Honky Tonks","2:51"

"Ready Teddy (Buddy Holly) [Dj Special 2023]{4 Phrase}","Buddy Holly","108","50s Doo Wop-Honky Tonks","1:40"

"Ready Teddy (Elvis) (Dj Special 2023) {4 Phrase}","Elvis Presley","101","50s Doo Wop-Honky Tonks","2:07"

"Ready Teddy (Little Richard) [Dj Special 2023] {4 Phrase}","Little Richard","102","50s Doo Wop-Honky Tonks","2:16"

"Rebel Rouser (Dj Cut 2022)","Duane Eddy","103","50s Doo Wop-Honky Tonks","2:22"

"Reet Petite (The Finest Girl You Ever Want to Meet)(Doubletime)","Jackie Wilson","85","50s Doo Wop","2:46"

"Rip It Up (Dj Cut 2023) [4 Phrase]","Little Richard","97","50s Doo Wop","2:31"

"Rock And Roll Is Here To Stay (doubletime)","Danny & the Juniors","95","50s Doo Wop","2:32"

"Rock and Roll Music (Chuck Berry) [Dj Special 2023]","Chuck Berry","82","50s Doo Wop","2:40"

"Rock Around The Clock (Dj Cut) (8ct doubletime looper)","Bill Haley and the Comets","89","50s Doo Wop-Honky Tonks/MensSports","2:23"

"R-O-C-K (Doubletime)","Bill Haley and His Comets","89","50s Doo Wop-Honky Tonks","2:23"

"Rock-A-Beatin' Boogie (Dj cut 2022)(doubletime","Bill Haley & His Comets","91","50s Doo Wop","2:26"

"Rockin' Daddy (Single Version)","Howlin' Wolf","150","50s Doo Wop-Honky Tonks","3:05"

"Rockin Robin - (4 Phrase) [170bpm]","Bobby Day","85","50s Doo Wop/MensSports","2:36"

"Roll Over Beethoven (Single Version) (4 phrase doubletime)","Chuck Berry","93","50s Doo Wop-Honky Tonks","2:16"

"Ruby Baby - The Drifters","The Drifters","131","50s Doo Wop","2:26"

"Runaround Sue (Dj Cut 2023)","Dion & The Belmonts","158","50s Doo Wop-Honky Tonks/MensSports","2:09"

