
Title,Artist,Album,Year,Length,BPM
"I'm A One Woman Man","George Jones","I'm A One Woman Man","2009","2:09","142"

"I'm Gonna Hire A Wino (To Decorate Our Home) (Dj cut 2022)(4 phrase)","David Frizzell and Shelly West","CMT's 40 Greatest Drinking Songs","","3:53","81"

"I'm Just an Old Chunk of Coal (But I'm Gonna Be a Diamond Some Day)(4 Phrase)","John Anderson","John Anderson 2","2007","3:47","81"

"Islands In The Stream (With Do","Kenny Rogers","21 Number Ones","","4:08","102"

"It Ain't Nothin'","Keith Whitley","16 Biggest Hits","2006","4:04","120"

"Jose Cuervo","Shelly West","West By West","1983","2:43","115"

"Just In Case","The Forester Sisters","Greatest Hits","1989","2:26","104"

"Kansas City Lights","Steve Wariner","Super Hits","1998","3:34","129"

"Kids Of The Baby Boom","The Bellamy Brothers","Country Rap","1987","3:29","98"

"Let Me Tell You About Love","The Judds","All-Time Greatest Hits","2017","2:59","104"

"Little Sister (Dj Cut 2022)","Dwight Yoakam","Just Lookin' For A Hit","","3:07","144"

"Long White Cadillac (Dj Special 2023)","Dwight Yoakam","Just Lookin' for a Hit","1989","5:16","126"

"Long White Cadillac","Dwight Yoakam","Just Lookin' for a Hit","1989","5:21","127"

"Lousiana Saturday Night - 84","Mel McDaniel","Mel McDaniel - His Very Best","2008","2:17","83"

"Love On Arrival (Doubletime)","Dan Seals","On Arrival","1990","3:51","98"

"Love Will Find Its Way To You","Reba McEntire","The Last One To Know","1987","3:38","129"

"Lynda (4 phrase)","Steve Wariner","It's A Crazy World","1987","3:08","83"

"Medley: The Bird / Whiskey River / On the Road Again / He Stopped Loving Her Today","Jerry Reed","The Bird","1982","3:21","110"

"Mountain Music (ends at 152)","Alabama","For The Record (Disc 1)","","3:39","110"

"My Baby's Got Good Timing","Dan Seals","Certified Hits","2001","3:26","114"

"Next To You, Next To Me","Shenandoah","Extra Mile","2012","3:38","94"

"Nobody (Doubletime)","Sylvia","Just Sylvia","1982","3:22","124"

"Nothing I Can Do About It Now (4 phrase)","Willie Nelson","Willie Nelson - 16 Biggest Hits","1975","3:18","97"

"Older Women (8ct looper) [slow start]","Ronnie McDowell","Greatest Hits","1994","2:49","89"

"On Second Thought","Eddie Rabbitt","Jersey Boy","1990","3:39","131"

"On The Road Again (8ct looper)","Willie Nelson","Willie Nelson","    ","2:28","111"

"Operator, Operator","Eddy Raven","Love and Other Hard Times","1985","3:06","117"

"Pass It On Down","Alabama","Pass It On Down","1998","4:54","105"

"Pecos Promenade (Dj Special 2024)","Tanya Tucker","20th Century Masters - The Millennium Collection: The Best of Tanya Tucker","","2:33","98"

"Please, Please Baby (Dj Cut 2023)","Dwight Yoakam","Just Lookin' for a Hit","1989","3:30","83"

"Queen Of Hearts (Doubletime OK)","Juice Newton","Juice Newton's Greatest Hits - American Girl Volume II","2009","3:24","85"

"Rainbow Stew (Doubletime)","Merle Haggard","20th Century Masters: The Millennium Collection: The Best Of Merle Haggard","2000","2:46","88"

"Real Good Feel Good Song (Doubletime)","Mel McDaniel","Now You're Talkin'","1988","2:25","112"

"Red Neckin' Love Makin' Night (4 phrase)","Conway Twitty","Mr. T","1981","4:42","91"

"Redneck Girl (8ct looper)","The Bellamy Brothers","Number One Hits","2008","3:29","127"

"Rock 'N' Roll Angel (8ct looper)","The Kentucky Headhunters","The Best Of The Kentucky Headhunters: Still Pickin'","1994","3:52","123"

"Rockin' With The Rhythm Of The Rain","The Judds","Rockin' With The Rhythm","1985","2:41","142"

"Seven Year Ache","Rosanne Cash","The Essential Rosanne Cash","","3:16","121"

"She Got the Goldmine (I Got the Shaft)","Jerry Reed","The Essential Jerry Reed","1994","3:16","110"

"She's a Miracle","Exile","Kentucky Hearts","2012","3:37","125"

"She's Crazy For Leaving (4 phrase)","Rodney Crowell","Diamonds & Dirt","1993","3:15","95"

"She's My Rock","George Jones","Ladies' Choice","1984","2:27","92"

"Since I Found You","Sweethearts Of The Rodeo","Anthology","2016","2:48","81"

"Sixteen Tons","Johnny Cash","Johnny Cash Is Coming To Town","1964","2:43","157"

"Slow Hand","Conway Twitty","Southern Comfort","2005","2:56","106"

"Speak Of The Devil (Dj Cut 2023)","Pirates Of The Mississippi","Pirates Of The Mississippi","1990","3:06","126"

"Stand Up","Mel McDaniel","Baby's Got Her Blue Jeans On","1996","2:33","83"

"Streets Of Bakersfield (2006 Remastered)","Buck Owens","21 #1 Hits: The Ultimate Collection","2006","2:49","106"

"Sweet Country Music(SLOWSTART)","Atlanta","Pictures","1984","3:35","110"

"Swingin' (Original)","John Anderson","Greatest Hits","1996","2:59","111"

"Take This Job And Shove It (Dj cut 2.0)","Johnny Paycheck","Country Music Classics Volume V (1975-1980)","","2:52","137"

"Takes a Lot to Rock You","Dwight Yoakam","If There Was a Way","2008","2:59","125"

"Tennessee River (8ct Looper) [95bpm]","Alabama","My Home's In Alabama","1980","3:09","94"

"The Church On Cumberland Road (4 Phrase)","Shenandoah","Super Hits","1994","2:59","150"

"The Conversation","Waylon Jennings with Hank Williams Jr.","Waylon and Company","1983","3:50","90"

"The Dukes Of Hazzard (slow start)","Waylon Jennings","The Dukes Of Hazzard","    ","2:09","148"

"The Fireman - 85","George Strait","Does Fort Worth Ever Cross Your Mind","1984","2:36","85"

"The Race Is On (doubletime)","Sawyer Brown","Greatest Hits","1990","2:55","90"

"Then It's Love","Don Williams","GOLD","2000","3:27","139"

"There Goes My Heart Again (Dj Cut 2023)(4phrase)","Holly Dunn","American Legend","2009","2:50","151"

"Those Memories of You (2015 Remaster)","Dolly Parton, Linda Ronstadt & Emmylou Harris","The Complete Trio Collection (Deluxe Edition)","2016","4:01","140"

"Tight Fittin' Jeans","Conway Twitty","The #1 Hits Collection","2000","2:50","102"

"Trying To Love Two Women (Dj Cut 2023)(4 phrase)","The Oak Ridge Boys","Together","1980","2:38","88"

"Turn It Loose","The Judds","Heartland","1987","3:42","119"

"Turn It On, Turn It Up, Turn Me Loose","Dwight Yoakam","Dwight Yoakam","1990","3:25","91"

"Turning Away","Crystal Gaylel","Cage The Songbird","","2:55","156"

"Unwound ","George Strait","George Strait's Greatest Hits","1985","2:25","139"

"Wabash Cannonball (4 Phrase)","Boxcar Willie","Boxcar Willie","2010","3:22","108"

"Walk Softly on This Heart of Mine","The Kentucky Headhunters","Pickin' on Nashville","1989","3:47","126"

"Who's Cheatin' Who","Charly McClain","Greatest Hits","1982","2:15","134"

"Why Baby Why (Dj Cut 2022)","Charley Pride","The Essential Charley Pride","2006","2:14","153"

"Wish You Were Here (Live At The Roy Acuff Theater Nashville, TN, 1981)","Barbara Mandrell","Barbara Mandrell Live (Live At The Roy Acuff Theater Nashville, TN, 1981)","1981","2:45","102"

"Woke Up In Love (4 phrase)","Exile","Exile","2012","3:06","84"

"Women Do Know How to Carry On (Dj cut 2023) (Doubletime)","Waylon Jennings","Black On Black","2015","3:17","84"

"Women I've Never Had (Dj cut 2022)","Hank Williams, Jr.","Greatest Hits","1980","2:54","122"

"Women I've Never Had (Dj special 2022)","Hank Williams, Jr.","Greatest Hits","","2:54","122"

"Wrong","Waylon Jennings","The Eagle","2015","2:58","85"

"You Can't Judge A Book","Hank Williams, Jr.","Montana Cafe","1986","4:01","101"
