
Title,Artist,Album,Year,Length,BPM
"Live In The Moment (128 bpm)(8ct looper)","Portugal. The Man","Woodstock","2017","4:07","128"

"Lost In Yesterday","Tame Impala","The Slow Rush","2020","4:10","122"

"Mama Said","Lukas Graham","NOW That's What I Call Music!, Vol. 60","2016","3:26","84"

"Might Not Like Me","Brynn Elliott","Might Not Like Me","2017","3:53","114"

"My Own Worst Enemy [Edited]","Lit","Platinum & Gold Collection","2004","2:49","103"

"My Own Worst Enemy [Dirty]","Lit","A Place In The Sun [Explicit]","1999","2:49","103"

"Natural (Imagine Dragons) (Dj Cut)","Imagine Dragons","Natural","2018","2:30","100"

"Natural","Imagine Dragons","Natural","2018","3:10","100"

"Novocaine (The Unlikely Candidates)","The Unlikely Candidates","Novocaine [Explicit]","2019","4:05","116"

"Novocaine (Fall Out Boy)","Fall Out Boy","Fall Out Boy","2015","3:47","136"

"Ohio (Come Back to Texas)[Dj Cut 2025]","Bowling for Soup","A Hangover You Don't Deserve ","2004","4:02","150"

"Only Human (Jonas Brothers)","Jonas Brothers","Happiness Begins","2019","3:03","94"

"Over My Head","Echosmith","Over My Head","2018","3:28","105"

"Paralyzer","Finger Eleven","Them vs. Me vs. You","2007","3:25","106"

"Pumped Up Kicks","Foster The People","Torches","2011","4:00","128"

"Renegades (lDoubletime)","X Ambassadors","NOW That's What I Call Music, Vol. 57 [Clean]","2016","3:14","90"

"Roar (DallasK Remix)","Katy Perry","NOW That's What I Call A Workout 4","2014","3:51","125"

"Run Wild (doubletime)","Thutmose","Run Wild","2018","2:40","152"

"S.O.B (Cold Start)","Nathaniel Rateliff & the Night Sweats","Nathaniel Rateliff & the Night Sweats","","4:08","110"

"S.O.B. (Dj Cut 2026) 2.0","Nathaniel Rateliff & the Night Sweats","Nathaniel Rateliff & the Night Sweats","","4:25","110"

"Seven Nation Army (slow start)","The White Stripes","Elephant","2003","3:52","123"

"Sex on Fire","Kings Of Leon","Only By The Night","2008","3:23","153"

"Shake It Off - 80 (doubletime)","Taylor Swift","1989 [+digital booklet]","2014","3:39","80"

"She's Kerosene","The Interrupters","Fight the Good Fight","2018","2:51","84"

"She's Kinda Hot (Intro Boosted)","5 Seconds Of Summer","NOW That's What I Call Music! Vol. 56","2015","3:36","118"

"Shivers","Ed Sheeran","=","2020","3:28","141"

"Shut Up and Dance (Jason Nevins Radio Mix) (8ct looper)","Walk the Moon","Now That's What I Call Party Anthems 3 [Clean]","2016","3:15","128"

"Sing","Ed Sheeran","x (Deluxe Edition)","2014","3:55","120"

"Sk8er Boi","Avril Lavigne","Let Go","    ","3:24","150"

"So What (126 bpm)","Pink","So What","    ","3:35","126"

"Splash","public","Splash","2020","2:51","107"

"Stacys Mom","Fountains Of Wayne","Fountains Of Wayne","","3:16","118"

"Stitches","Shawn Mendes","NOW That's What I Call Music! Vol. 56","2015","3:25","150"

"Stressed Out","twenty one pilots","Blurryface","2015","3:22","85"

"Sucker (Dj Cut)","Jonas Brothers","Happiness Begins","2019","3:07","138"

"Super Massive Black Hole","The Muse","Super Massive Black Holl","","3:31","120"

"Take Me Out","Franz Ferdinand","Franz Ferdinand","2004","3:57","104"

"Teenage Dream (looper 8ct)","Katy Perry","Teenage Dream [Clean]","2010","3:48","120"

"That's Not My Name","The Ting Tings","We Started Nothing","2008","5:12","145"

"The Anthem {Good Charlotte} (Dj Cut 2025)","Good Charlotte","The Young And The Hopeless","    ","2:50","89"

"The Last of the Real Ones (Dj Cut 2023)","Fall Out Boy","M A N I A","","3:42","115"

"The Wolf [Clean] (Remastered)","The Spencer Lee Band","The Spencer Lee Band [Clean]","2018","2:55","100"

"Therefore I Am (8ct looper)","Billie Eilish","Therefore I Am","2020","2:54","94"

"There's Nothing Holdin' Me Back","Shawn Mendes","NOW That's What I Call Music, Vol. 64","","3:18","122"

"TiK ToK (Dj Special 2022)","Ke$ha","","","3:27","120"

"Tonight Tonight","Hot Chelle Rae","Hot Chelle Rae","    ","3:21","100"

"Uma Thurman (Dj Cut 2025)","Fall Out Boy","NOW That's What I Call Music! Vol. 56","2015","3:18","149"

"Uprising - Muse","The Muse","The Resistance","","5:00","129"

"Walk Away","The Jacks","Walk Away","2019","3:44","145"

"What Makes You Beautiful","One Direction","Up All Night","2012","3:18","125"

"Who's In Your Head","Jonas Brothers","Who's In Your Head","2021","3:04","101"

"why are you here (Dj Special 2023)","Machine Gun Kelly","why are you here - Single","","2:54","129"

"Wicked Games","The Hot Damns","The Hot Damns","","3:14","85"

"Wildflower (5 S.O.S) (Dj Special 2022)","5 Seconds Of Summer","CALM [Explicit]","2020","3:40","109"

"Year 3000","Jonas Brothers","It's About Time","2006","3:22","107"

"You Belong With Me 2.0","Taylor Swift","You Belong With Me","    ","3:51","130"

"Youngblood (120bpm)","5 Seconds Of Summer","Youngblood [Clean]","2018","3:23","120"
