Song Title,Artists,BPM,Comments,Length
"Hold 'Em, Joe (Dj Special 2023)","Harry Belafonte with Hugo Winterhalter's Orchestra and Chorus","95","40s 50s Jazz and Big Band Classics","2:36"

"I Ain't Got Nobody (Dj Cut 2022) (4 phrase)","Fats Waller","94","40s 50s Jazz and Big Band","2:15"

"I Got a Woman (Dj Cut 2022)(4 Phrase Doubletime) 2.0","Ray Charles","98","40s 50s Jazz and Big Band Classics","2:58"

"I Want You To Be My Baby (Dj cut 2022)(4 phrase)","Louis Jordan & His Tympany Five","93","40s 50s Jazz and Big Band","1:51"

"I'm a Woman (99bpms)","Peggy Lee","99","40s 50s Jazz and Big Band Classics/Pop/WMSport","2:11"

"I'm Gonna See My Baby","Jo Stafford & Johnny Mercer","138","40s 50s Jazz and Big Band","2:33"

"I'm Gonna Wash That Man Right Out Of My Hair (8ct looper)","Peggy Lee","152","40s 50s Jazz and Big Band Classics","3:12"

"I'm Just Wild About Harry (doubletime)","Peggy Lee","130","40s 50s Jazz and Big Band Classics","2:08"

"In The Mood (Dj Cut 2022 OK)","Glenn Miller & His Orchestra","83","Mens Sports 1940s 1950s Jazz and Big Band Classics","3:40"

"Is You Is Or Is You Ain't (My Baby) (Dj Cut 2022)","Louis Jordan & His Tympany Five","139","40s 50s Jazz and Big Band","2:32"

"Is You Is Or Is You Aint My Baby (Dj Special 2022)","Dinah Washington","115","40s 50s Jazz and Big Band","3:17"

"It Don't Mean A Thing (If It Ain't Got That Swing) - Duke Ellington [Dj special 2022)","Duke Ellington","105","40s 50s Jazz and Big Band Classics","2:47"

"It Don't Mean a Thing (Swingfield Band)(Dj Cut 2022)(4 Phrase) 2.0","Swingfield Big Band","94","40s 50s Jazz and Big Band","2:35"

"It's A Good Day (doubletime)","Peggy Lee","122","40s 50s Jazz and Big Band Classics","2:55"

"I've Got The World On A String (Dj Special 2023)","Frank Sinatra","121","40s 50s Jazz and Big Band Classics","1:56"

"Jeepers Creepers (looper)","Louis Armstrong","92","40s 50s Jazz and Big Band Classics","4:39"

"Joshua Fit The Battle Of Jericho (Doubletime)","The Harlem Ramblers","115","40s 50s Jazz and Big Band","2:26"

"Jump In The Line (Shake Senora)(Dj Special 2022)","Harry Belafonte","112","40s 50s Jazz and Big Band Classics","3:43"

"Jump, Jive, An' Wail (Louis Prima)(Dj Cut 2022)(4 phrase)","Louis Prima","100","40s 50s Jazz and Big Band","3:34"

"Just A Gigolo (Louis Prima) (Dj Cut 2022)","Louis Prima","122","40s 50s Jazz and Big Band","4:47"

"Learnin' The Blues","Frank Sinatra","128","40s 50s Jazz and Big Band Classics","3:02"

"Let It Snow","Dean Martin","135","40s 50s Jazz and Big Band Classics","1:54"

"Let's face the Music and Dance (Dj Cut 2022)(4 phrase)","Frank Sinatra","85","40s 50s Jazz and Big Band Classics","2:59"

"Let's Fall In Love","Sammy Davis Jr.","141","40s 50s Jazz and Big Band","2:12"

"Little Brown Jug (Doubletime)","J. Winner","88","40s 50s Jazz and Big Band","3:00"

"Long About Midnight","Cab Calloway","87","40s 50s Jazz and Big Band","3:06"

"Love Me or Leave Me","Sammy Davis, Jr.","145","40s 50s Jazz and Big Band","2:58"

"Luck Be A Lady - 152 - 76.4","Frank Sinatra","152","40s 50s Jazz and Big Band Classics","5:15"

"Lullaby Of Broadway (Doris Day) (Dj cut 2022)(4 phrase)","Doris Day","83","40s 50s Jazz and Big Band","2:50"

"Lullaby of Broadway (Peggy Lee)(Dj Cut 2022)(4 phrase)","Peggy Lee","87","40s 50s Jazz and Big Band Classics","2:24"

"Mack the Knife - Louis Armstrong (Dj Cut 2022)(4 Phrase)","Louis Armstrong","92","40s 50s Jazz and Big Band Classics","2:53"

"Mambo Italiano (Dj Cut 2022)","Dean Martin","152","40s 50s Jazz and Big Band Classics","2:01"

"Mañana (Is Soon Enough for Me) (looper 8ct)","Peggy Lee","121","40s 50s Jazz and Big Band Classics","3:00"

"March Of The Toreadors","Carmen (Bizet)","121","40s 50s Jazz and Big Band","2:20"

"Matilda (4 Phrase)","Harry Belafonte","89","40s 50s Jazz and Big Band Classics","3:13"

"Mess Around","Ray Charles","149","40s 50s Jazz and Big Band Classics","2:42"

"Minnie the Moocher (Dj Special 2022)","Cab Calloway","98","40s 50s Jazz and Big Band Classics","3:33"

"Nice Work If You Can Get It (4 phrase) (FAST START)","Frank Sinatra","91","40s 50s Jazz and Big Band Classics","2:36"

"On the Road to Mandalay (Dj Cut 2023)","Frank Sinatra","117","40s 50s Jazz and Big Band Classics","3:28"

"Patricia (Dj special 2022)","Perez Prado","137","40s 50s Jazz and Big Band","2:05"

"Pennies from Heaven (Doubletime)","Louis Prima","93","40s 50s Jazz and Big Band","2:21"

"Pink Panther Theme","Henry Mancini","128","40s 50s Jazz and Big Band","1:49"

"Pistol Packin' Mama (Dj Cut 2022) (4 phrase)","Bing Crosby & The Andrews Sisters","101","40s 50s Jazz and Big Band","3:08"

"Pocket Full Of Miracles","Frank Sinatra","117","40s 50s Jazz and Big Band Classics","2:39"

"Reefer Man (Dj Cut 2022)(4 phrase)","Cab Calloway","124","40s 50s Jazz and Big Band","2:49"

"Route 66 (looper)","Bobby Troup","94","40s 50s Jazz and Big Band","2:40"

"Sam's Song","Sammy Davis, Jr. & Dean Martin","118","40s 50s Jazz and Big Band","2:45"

"Saturday Night Fish Fry (Pts. 1 & 2) (Dj Cut 2022)","Louis Jordan & His Tympany Five","89","40s 50s Jazz and Big Band","5:31"

"Sing, Sing, Sing (With a Swing) ","Benny Goodman & His Orchestra","108","Mens Sports 1940s 1950s Jazz and Big Band Classics","5:02"

"Singin’ In The Rain (Dj Cut 2022)","Gene Kelly","142","40s 50s Jazz and Big Band","2:42"

"Somewhere Beyond The Sea - Frank Sinatra (DJ Special 2022)","Frank Sinatra","137","40s 50s Jazz and Big Band Classics","2:55"

"Somewhere Beyond The Sea","Robbie Williams","131","40s 50s Jazz and Big Band","3:12"

"South Of The Border (Dj Cut 2022)","Frank Sinatra","130","40s 50s Jazz and Big Band Classics","2:42"

