Song Title,Artists,BPM,Comments,Length
"Dance (Pt 1)","The Rolling Stones","107","70s Classic Rock-B Sides","4:23"

"Dance The Night Away","Van Halen","129","70s Classic Rock-B Sides","3:10"

"Dance with Me","Orleans","98","70s Classic Rock-B Sides","3:21"

"Dancing Days {Say it's Alright} (DJ special 2024)","Led Zeppelin","117","70s Classic Rock-A Sides/Pop-Radio","3:35"

"Dancing In the Moonlight (Kings Harvest) (Dj Cut)","King Harvest","136","70s Classic Rock-B Sides","2:51"

"Dancing Queen (Dj Cut Special 2026)","ABBA","99.450000","                            ","4:07"

"Dancing Queen [Cold Start]","ABBA","99.450000","70s Classic Rock-A Sides/Pop-Radio","3:47"

"Dark Entries (doubletime)","Bauhaus","85","70s Classic Rock-B Sides","3:52"

"Dark Star","Crosby, Stills & Nash","100","70s Classic Rock-B Sides","4:46"

"De Do Do Do, De Da Da Da","The Police","147","70s Classic Rock-A Sides/Pop-Radio","4:10"

"Dirty Deeds Done Dirt Cheap","AC/DC","135","70s Classic Rock-A Sides/Pop-Radio","4:12"

"Dirty Laundry","Don Henley","98","70s Classic Rock-A Sides/Pop-Radio","5:37"

"Dirty Love","Frank Zappa","99","70s Classic Rock-B Sides","2:59"

"Do It Again (Dj Edit) - Steely Dan","Steely Dan","124","70s Classic Rock-A Sides/Pop-Radio","5:06"

"Do Ya","Electric Light Orchestra","123","70s Classic Rock-B Sides","3:45"

"Do You Feel Like We Do (Live) [Short Edit]","Peter Frampton","108","70s Classic Rock-B Sides","5:45"

"Doctor My Eyes","Jackson Browne","148","70s Classic Rock-B Sides","3:20"

"Don't Ask Me No Questions (Single Version)","Lynyrd Skynyrd","127","70s Classic Rock-A Sides","3:32"

"Don't Bring Me Down","Electric Light Orchestra","115","70s Classic Rock-A Sides","4:05"

"Don't Do Me Like That","Tom Petty","116","70s Classic Rock-A Sides/Pop-Radio","2:42"

"Don't Go Breaking My Heart (Dj Cut 2025)","Elton John","131","70s Classic Rock-A Sides/Pop-Radio","4:37"

"Don't Stand So Close To Me","The Police","140","70s Classic Rock-A Sides/Pop-Radio","4:03"

"Don't Stop (Fleetwood Mac 1977)","Fleetwood Mac","119","70s Classic Rock-A Sides/Pop-Radio","3:11"

"Don't Stop Believin' (Dj Special 2025)","Journey","120","70s Classic Rock-A Sides/Pop-Radio","4:08"

"Double Vision","Foreigner","129","70s Classic Rock-B Sides","3:45"

"Draggin' the Line (Single Version)","Tommy James","114","70s Classic Rock-B Sides","2:42"

"Dream Police","Cheap Trick","138","70s Classic Rock-B Sides","3:51"

"Dreams (2004 Remaster)","Fleetwood Mac","121","70s Classic Rock-A Sides/Pop-Radio","4:18"

"Driving My Life Away (doubletime)","Eddie Rabbitt","84","70s Classic Rock-A Sides/Pop-Radio","3:15"

"Dyer Maker (4 Phrase)","Led Zeppelin","82","70s Classic Rock-A Sides/Pop-Radio","4:19"

"Earache My Eye (Slow Start)","Alice Bowie","91","70s Classic Rock-B Sides","2:30"

"Emotional Rescue","The Rolling Stones","110","70s Classic Rock-B Sides","5:40"

"Escape (The Piña Colada Song)","Rupert Holmes","140","70s Classic Rock-A Sides","4:33"

"Everybody Needs Somebody to Love (4 Phrase)","The Blues Brothers","96","70s Classic Rock-A Sides/Pop-Radio/Menssports","3:25"

"Evil Woman","Electric Light Orchestra","119","70s Classic Rock-A Sides/Pop-Radio","4:30"

"Eye Of The Tiger (Dj cut 2024 OK)","Survivor","108","70s Classic Rock-A Sides/Pop-Radio","3:46"

"Feels like the First Time","Foreigner","110","70s Classic Rock-B Sides","3:13"

"Flirtin' With Disaster (Dj Cut 2022)(4 Phrase Double)","Molly Hatchet","91","70s Classic Rock-B Sides","4:41"

"Fly Like An Eagle {SMB}(Dj Cut 2025)2.0","Steve Miller Band","96.480000","70s Classic Rock-A Sides/Pop-Radio","4:42"

"Fool in the Rain (4 phrase)","Led Zeppelin","130","70s Classic Rock-A Sides/Pop-Radio","6:13"

"Foreplay/Long Time","Boston","119","70s Classic Rock-A Sides","7:46"

"Fortunate Son","Creedence Clearwater Revival","132","70s Classic Rock-A Sides","2:19"

"Fox On The Run","The Sweet","129","70s Classic Rock-B Sides","3:32"

"Frankenstein (Dj cut 2022)","Edgar Winter","95","70s Classic Rock-B Sides","4:54"

"Free Bird - (Use Blue for slow start. Red @ 116 exits at 152)","Lynyrd Skynyrd","116","70s Classic Rock-B Sides","9:10"

"Free Ride (Dj Cut 2025){First Verse}","Edgar Winter","123","70s Classic Rock-A Sides/Pop-Radio/Menssports","3:07"

"Free Ride (Dj Cut 2025){From Top}","Edgar Winter","123","70s Classic Rock-B Sides","3:22"

"Freewill (looper 8ct) (hard to mix out of)","Rush","155","70s Classic Rock-B Sides","5:24"

"Funk #49 (l18ct ooper)","James Gang","92","70s Classic Rock-B Sides","3:56"

