
Title,Artist,Album,Year,Length,BPM


"1,2,3,4 Gimme Some More","D.D. Sound","D.D. Sound","","3:39","135"

"A Fifth of Beethoven (Dj Cut 2023)","Walter Murphy and the Big Apple Band","A Fifth of Beethoven","1976","2:59","108"

"A Lover's Holiday","Change","The Very Best Of Change","2005","3:57","116"

"Ain't No Stoppin' Us Now","McFadden & Whitehead","The Disco Years, Vol. 2: On the Beat","1990","3:40","113"

"Bad Girls","Donna Summer","Bad Girls","1979","4:55","120"

"Best of My Love","The Emotions","Rejoice","1977","3:41","115"

"Boogie Down","Eddie Kendricks","Billboard Top Rock & Roll Hits: 1974","1989","3:52","114"

"Boogie Fever","The Sylvers","20 #1’s: Disco","2017","3:26","129"

"Boogie Nights","Heatwave","Funky Sounds of the Soul 70's","1995","3:38","119"

"Boogie Oogie Oogie","A Taste of Honey","Pure Disco, Vol. 3","1998","6:24","125"

"Boogie Shoes","KC & the Sunshine Band","The Best of KC & the Sunshine Band [Rhino 1990]","1990","2:12","119"

"Born to Be Alive ","Patrick Hernandez","Born to Be Alive","    ","3:08","131"

"Born To Hand Jive (From “Grease”)","Sha-Na-Na","Grease (The Original Motion Picture Soundtrack)","1978","4:40","128"

"Brick House","The Commodores","Pure Funk","1998","3:27","107"

"Burn This Disco Out","Michael Jackson","Off the Wall","1979-08-10T07:00:00Z","3:41","117"

"Call Me - Blondie","Blondie","Blondie","","3:32","142"

"Can't Get Enough of Your Love, Babe","Barry White","Pure Disco, Vol. 2","1997","3:54","110"

"Car Wash [7" Mix]","Rose Royce","Love Funk: 12 Classic Funk Hits","2000","3:20","116"

"Celebration","Kool & the Gang","Pure Disco [Polygram]","1996","3:40","121"

"Chase - Midnight Express (Single Version)","Giorgio Moroder","20 #1’s: Disco","2017","3:36","125"

"Come To Me (8ct-looper)","France Joli","Any Day Now (Original Motion Picture Soundtrack)","2012","4:24","131"

"Contact (Rerecorded)","Edwin Starr","Soulful Seventies","2015","3:19","132"

"Copacabana","Barry Manilow","Greatest Hits, Vol. 2","1983","5:46","116"

"Cuba","The Gibson Brothers","Pure Disco [Polygram]","1996","3:41","120"

"D.I.S.C.O (English Version)","Ottawan","The Best Of","2011","3:17","123"

"Da' Think I'm Sexy","Rod Stewart","Rod Stewart;","2001","8:32","112"

"Daddy Cool","Boney M.","The Greatest Hits","2002","3:28","124"

"Dance (Disco Heat)","Sylvester","Step II","2009","5:52","133"

"Dance A Little Bit Closer (12" Mix)","Charo and The Salsoul Orchestra","Cuchi-Cuchi","2014","6:17","118"

"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) (7'' Version)","Chic","Les Plus Grands Succs De Chic - Chic's Greatest Hits","1991","3:39","123"

"Dancer - Gino Soccio","Gino Soccio","Gino Soccio","","3:32","120"

"Dancing Queen (Dj Cut 2024 From The Top) ","ABBA","Pure Disco [Polygram]","1996","3:56","100"

"Dancing Queen (Dj Special 2022 First Chorus)","ABBA","Pure Disco [Polygram]","1996","3:37","100.450000"

"Dancing Queen [Cold Start]","ABBA","Pure Disco [Polygram]","1996","3:47","100.450000"

