Song Title,Artists,BPM,Comments,Length
"Say It Loud (I'm Black and I'm Proud), Pt. 1 (looper 8ct)","James Brown","114","60s A-Sides_Panther Soul","2:46"

"Signed, Sealed, Delivered I'm Yours","Stevie Wonder","108","60s B-Sides_Panther Soul_Mix","2:37"

"Sitting On The Dock Of The Bay","Otis Redding","103","60s B-Sides_Panther Soul_Mix","2:45"

"Snatching It Back","Clarence Carter","103","60s A-Sides_Panther Soul","2:52"

"So Sharp (Dj Cut 2022)","Dyke and the Blazers","107","60s B-Sides_Panther Soul","3:05"

"Sock It to Me, Baby! (Dj Cut 2022)","Mitch Ryder And The Detroit Wheels","145","60s A-Sides_Panther Soul","2:52"

"Tell Mama","Etta James","121","60s A-Sides_Panther Soul","2:24"

"Thank You","Sly And The Family Stone","106","60s A-Sides_Panther Soul/Pop","4:50"

"The Ghetto - Donny Hathaway","Donny Hathaway","114","60s B-Sides_Panther Soul","6:54"

"The Jeffersons (Movin' on Up) (Dj cut 2022)(4 phrase)","Various","92","60s B-Sides_Panther Soul_Mix","1:18"

"The Message From The Soul Sisters (Pt. 1 & 2)","Myra Barnes","99","60s B-Sides_Panther Soul","5:22"

"The Nitty Gritty (Gladys Knight & The Pips)(1969)","Gladys Knight & The Pips","108","60s B-Sides_Panther Soul","3:02"

"The Thrill Is Gone","B.B. King","90","60s A-Sides_Panther Soul","5:11"

"There Was A Time (Live At The Apollo Theater, 1967)","James Brown","124","60s B-Sides_Panther Soul","4:26"

"Think (4 Phrase)","James Brown","157","60s A-Sides_Panther Soul","2:45"

"Think [Soul Searchers] (8ct looper)","Soul Searchers","113","60s B-Sides_Panther Soul","4:44"

"Think [Aretha Franklin](Original)","Aretha Franklin","110","60s A-Sides_Panther Soul","2:20"

"Time Has Come Today (SLOW START)","The Chambers Brothers","124","60s B-Sides_Panther Soul","4:51"

"Tramp","Ottis Redding","106","60s B-Sides_Panther Soul","2:58"

"Turn Back the Hands of Time","Tyrone Davis","117","60s B-Sides_Panther Soul","2:59"

"Twenty Five Miles","Edwin Starr","124","60s A-Sides_Panther Soul","3:18"

"Uptight (Everything's Alright)","Stevie Wonder","133","60s B-Sides_Panther Soul_Mix","2:55"

"Walking the Dog (Dj special 2023)","Rufus Thomas","122","60s B-Sides_Panther Soul","2:29"

"War (Edwin Starr) [Dj Cut 2023]","Edwin Starr","111","60s A-Sides_Panther Soul","3:29"

"We're A Winner","Curtis Mayfield & The Impressions","98","60s B-Sides_Panther Soul_Mix","4:49"

"What Do I Have To Do To Prove My Love To You (Dj Cut 2022)","Marva Whitney","124","60s B-Sides_Panther Soul","2:32"

"What Does It Take (To Win Your Love)","Junior Walker & The All Stars","109","60s B-Sides_Panther Soul","2:31"

