
Title,Artist,Album,Year,Length,BPM
"Last Nite (4 Phrase)","The Strokes","Live at The Laundry in Fitzroy","2001","3:21","104"

"Love Song","Sara Bareilles","Little Voice","2007","4:19","123"

"Mercy (Duffy)","Duffy","Rockferry (Deluxe Edition)","2009","3:41","130"

"Mess Around","Cage the Elephant","Tell Me I'm Pretty","2015","2:53","151"

"Minority (Clean) (Boosted intro)","Green Day","Green Day","","2:45","137"

"Minority (Dirty) (Boosted Intro)","Green Day","Green Day","","2:49","137"

"Miss Murder","AFI","Decemberunderground","    ","3:26","143"

"MMMBop [Single Version]","Hanson","20th Century Masters: Millennium Collection","    ","3:59","105"

"Mr Brightside","The Killers","Jam Tracks - Drumless","","3:46","149"

"My Own Worst Enemy [Edited]","Lit","A Place In The Sun [Explicit]","1999","2:49","103"

"My Own Worst Enemy [Explicit]","Lit","A Place In The Sun [Explicit]","1999","2:49","103"

"No One Knows","Queens Of The Stone Age","Songs For The Deaf","2007","4:39","86"

"No Such Thing","John Mayer","Room for Squares","2001","3:52","132"

"Ocean Avenue (Dj Cut) (doubletime)","Yellowcard","Ocean Avenue","2003","3:18","87"

"One More Time - Daft Punk (Short Edit)","Daft Punk","One More Time","2000","2:22","123.000000"

"One Step Closer","Linkin Park","The More Greatest Hits","","2:38","95"

"Original Prankster [Edited] [feat. Redman]{4 phrase}","The Offspring & Redman","Conspiracy Of One [Explicit]","2000","3:41","146.470000"

"Original Prankster [Explicit] [feat. Redman]","The Offspring & Redman","Conspiracy Of One [Explicit]","2000","3:41","146.470000"

"Orphans","Coldplay","Everyday Life [Explicit]","2019","3:18","108"

"Picture (Ft. Kid Rock)","Kid Rock","Kid Rock;","2001","4:59","98"

"Pieces Of Me (Dj Cut 2024)","Ashlee Simpson","Autobiography","    ","3:45","87"

"Pinch Me ","Barenaked Ladies","00s Pop Classics","2017","4:45","95"

"Pumped Up Kicks","Foster The People","Torches","2011","4:00","128"

"Rest Of My Life (Dj Special 2022) (4 phrase)","Kottonmouthkings","Kottonmouthkings","","5:41","82"

"Rockstar (Dj Cut 2022)(4 phrase doubletime)","Nickelback","Nickelback","","4:25","144"

"Short Skirt Long Jacket","Cake","Prolonging The Magic","    ","3:28","120"

"Shut Up and Let Me Go","The Ting Tings","Shut Up and Let Me Go - Single","2008","2:52","108"

"Sick, Sick, Sick","Queens Of The Stone Age","Era Vulgaris","2007","3:35","96"

"Since Uve Been Gone (Full Song)","Kelly Clarkson","Kelly Clarkson","    ","3:09","131"

"Since You've Been Gone (5050 Dj cut)","Kelly Clarkson","Kelly Clarkson","","3:19","131"

"Smoth Criminal (cue at 7.7)","Alien Ant Farm","Alien Ant Farm","    ","3:29","127"

"Soak Up The Sun","Sheryl Crow","C'Mon C'Mon","2002","4:52","120"

"Somebody Told Me - The Killers (Dj Cut 2022)(Good mix)","The Killers","Sam's Town","","3:08","138"

"Sour Girl","Stone Temple Pilots","No. 4","1999","4:16","104"

"Stronger (What Doesn't Kill You)","Kelly Clarkson","Greatest Hits - Chapter One","2012","3:42","116"

"Teenage Dirtbag [Clean](Dj Cut 2025)","Wheatus","Wheatus [Clean]","2022","4:07","94"

"The Hand That Feeds","Nine Inch Nails","With Teeth","2005","3:32","128"

"The Man (Dj Special 2022)","Taylor Swift","Lover","2019","3:18","110"

"The Middle","Jimmy Eat World","Bleed American","    ","2:46","81"

"The Rock Show [Clean] (Dj Cut 2025) (4 phrase)","Blink 182","Blink 182 Greatest Hits","    ","2:45","96"

"The Rock Show [Dirty] (Dj Cut 2025) (4 phrase)","Blink 182","Blink 182 Greatest Hits","    ","2:45","96"

"The Way You Used To Do (Doubletime)","Queens Of The Stone Age","Villains","2017","4:34","98"

"Think It Over","Ringo Starr","Listen to Me: Buddy Holly","2011","1:49","129"

"This Is How a Heart Breaks - 70.01","Rob Thomas","Something To Be","2005","3:51","140"

"Unwritten","Natasha Bedingfield","The Sisterhood Of The Traveling Pants - Music From The Motion Picture","2005","4:18","100"

"Up All Night","Beck","Colors [Explicit]","2017","3:10","110"

"Vertigo (Radio Edit) - 69.96","U2","Vertigo","2004","3:11","140"

"What Makes You Beautiful","One Direction","Up All Night","2012","3:18","125"

"What's My Age Again","Blink 182","Blink 182 Greatest Hits","    ","2:27","157"

"Wherever You Will Go (club Mix)","The Calling","Jimbo's Mix","    ","4:02","119"

"Who Knew - 70.00","P!nk","I'm Not Dead [Explicit]","2006","3:29","140"

"Who Says You Can't Go Home","Bon Jovi and Jennifer Nettles","Have A Nice Day","2005","3:50","131"

"WOO HOO (KILL BILL 1) (4 phrase doubletime)","THE 5-6-7-8'S","","","1:59","128"

"Year 3000 (Dj Cut 2024)","Jonas Brothers","It's About Time","2006","3:13","107"
