Song Title,Artists,BPM,Comments,Length
"Cupid/I've Loved You for a Long Time","The Spinners","122","70s Classic Soul A-Sides/Pop-Radio","3:56"

"Cut the Cake (Single Edit)","Average White Band","107","70s Classic Soul B-Sides","4:06"

"Dance with Me ","Peter Brown","108","70s Classic Soul B-Sides","5:19"

"Dancing Machine (Dj Cut 2024)","The Jackson 5","109","70s Classic Soul A-Sides/Pop-Radio","2:51"

"Darling Darling Baby","The O'Jays","107","70s Classic Soul A-Sides","4:19"

"Dazz","Brick","109","70s Classic Soul A-Sides/Pop-Radio","3:22"

"Dirty Mind","Prince","131","70s Classic Soul A-Sides","3:49"

"Do I Do","Stevie Wonder","113","70s Classic Soul B+Sides/Dance","10:26"

"Do It [12] [Mix]","B.T. Express","104","70s Classic Soul A-Sides","5:52"

"Do The Funky Penguin (Part 1)","Rufus Thomas","101","70s Classic Soul B-Sides","3:10"

"Do You Know the Way to San Jose (4 Phrase)","Dionne Warwick","80","70s Classic Soul A-Sides","2:58"

"Do You Love What You Feel","Rufus And Chaka Khan","120","70s Classic Soul A-Sides","4:28"

"Doing It to Death (Dj Cut 2025)","The JB's Feat: James Brown","116","70s Classic Soul A-Sides/MensSports","5:00"

"Don't Knock My Love, Pt. 1 (2006 Remaster) [Single Version]","Wilson Pickett","107","70s Classic Soul B-Sides","2:16"

"Don't Leave Me This Way (Harold Melvin) (slow start)","Harold Melvin & The Blue Notes","124","70s Classic Soul B-Sides","6:04"

"Don't Let It Go to Your Head","Jean Carn","106","70s Classic Soul B-Sides","4:51"

"Don't Let the Green Grass Fool You (Doubletime)","Wilson Pickett","151","70s Classic Soul A-Sides","2:50"

"Don't Stop 'Til You Get Enough","Michael Jackson","119","70s Classic Soul A-Sides","6:03"

"Down To The Nightclub","Tower of Power","94","70s Classic Soul A-Sides","2:46"

"Drift Away (Original) (Dj Cut)(doubletime)","Dobie Gray","155","70s Classic Soul A-Sides","4:03"

"Dusic","Brick","110","70s Classic Soul B+Sides/Dance","5:43"

"Ease On Down The Road","Michael Jackson","122","70s Classic Soul B-Sides","3:25"

"Easy","The Commodores","60","70s Classic Soul B-Sides","4:18"

"Enjoy Yourself","The Jacksons","102","70s Classic Soul B+Sides/Crossover","3:27"

"Everybody Plays the Fool (4 phrase)","The Main Ingredient","84","70s Classic Soul B-Sides","3:21"

"Express Yourself","Charles Wright & The Watts 103rd. Street Rhythm Band","92","70s Classic Soul B+Sides","3:50"

"Express","B.T. Express","109","70s Classic Soul B-Sides","5:08"

"Family Affair (Single Version) [Dj Cut 2024]","Sly And The Family Stone","108","70s Classic Soul B-Sides","3:10"

"Fancy Dancer","The Commodores","99","70s Classic Soul B-Sides","4:23"

"Fantastic Voyage [12"]","Lakeside","114","70s Classic Soul A-Sides/Pop-Radio","6:08"

"Fantasy {4 Phrase]","Earth, Wind & Fire","89","70s Classic Soul A-Sides/Pop-Radio","4:36"

"Feel Good - Ike and Tina Turner (8ct Looper)(Mixes @ 83 spins @ 86)","Ike & Tina Turner","83","70s Classic Soul B-Sides","3:24"

"Ffun","Con Funk Shun","111","70s Classic Soul B+Sides/Dance","3:32"

"Fight the Power [*]","The Isley Brothers","126","70s Classic Soul A-Sides","5:17"

"Fire","The Ohio Players","106","70s Classic Soul A-Sides/Pop-Radio","3:30"

"FireCracker ","Mass Production","128","70s Classic Soul B+Sides/Dance","4:17"

"Flash Light (Dj Special 2025)","Parliament","105","70s Classic Soul A-Sides/Pop-Radio","4:38"

"Flash Light [Cold Start]","Parliament","105","70s Classic Soul A-Sides/Pop-Radio","5:34"

"Float On (Single Version)","The Floaters","96","70s Classic Soul B+Sides","4:09"

"For The Love Of Money (Dj Cut 2025)","The O'Jays","96","70s Classic Soul A-Sides/Pop-Radio","7:29"

"For the Love of You (Pt. 1 & 2)","The Isley Brothers","97.200000","70s Classic Soul A-Sides/Pop-Radio","5:37"

"Freddie's Dead (Dj special 2022 tempo adjusted)[4phrase]","Curtis Mayfield","91","70s Classic Soul B-Sides","5:31"

"Friday Is My Day (101bpm)","Z.Z. Hill","101","70s Classic Soul B-Sides","4:04"

"Friendship Train","Gladys Knight & The Pips","130","70s Classic Soul B-Sides","3:50"

"Funky President (People It's Bad)","James Brown","102","70s Classic Soul B-Sides","4:02"

"Funky Thing, Pt. 1 & 2","The Unemployed, Wardell Quezerque","114","70s Classic Soul B-Sides","4:49"

"Funky Worm (Dj Cut 2022)","The Ohio Players","86","70s Classic Soul B- Sides","2:28"

"Galaxy (Edit Version)","War","119","70s Classic Soul A-Sides","4:47"

"Get Back [Billy Preston] (Dj Cut 2023)","Billy Preston","132","70s Classic Soul B-Sides/Crossover","3:11"

"Get It Together (Dj Cut 2023)","Jackson 5","104","70s Classic Soul B-Sides","2:55"

"Get on the Floor","Michael Jackson","124","70s Classic Soul A-Sides","4:38"

"Get on the Good Foot","James Brown","108","70s Classic Soul A-Sides","3:35"

"Get The Funk Out Ma Face","The Brothers Johnson","106","70s Classic Soul A-Sides","2:28"

"Get Up (I Feel Like Being A) Sex Machine, Pt. 1 (Dj Cut 2022)","James Brown","108","70s Classic Soul A-Sides/Pop-Radio","5:10"

"Get Up And Dance","Freedom","107","70s Classic Soul B+Sides/Dance","6:30"

"Get Up And Get Down","The Dramatics","100","70s Classic Soul B+Sides","3:13"

"Get up Offa That Thing (Tempo Adj 2026)","James Brown","116.800000","60s A-Sides_Panther Soul/Pop/MensSports","4:09"

"Get Up, Get Into It, Get Involved (Pt. 1 & 2 / Mono)","James Brown","110","70s Classic Soul B-Sides","7:07"

"Getaway (Warped)","Earth Wind & Fire","112","70s Classic Soul A-Sides/Pop-Radio","3:47"

"Give Me The Night (Dj Cut 2025)","George Benson","110","70s Classic Soul A-Sides/Pop-Radio","5:17"

"Give The People What They Want ","The O'Jays","98","70s Classic Soul B-Sides","4:09"

