Song Title,Artists,BPM,Comments,Length
"Groove Thang (Dj Cut 2024)","Zhane","102.000000","90s RNB A-Sides","4:05"

"Gur Nalon Ishq Mitha (Doubletime)","DJ Rekha featuring Malkit Singh Remixed By Bally Sagoo","91","90s RNB A-Sides/Asian-International/Club/DanceWMSport","11:23"

"He Wasn't Man Enough","Toni Braxton","88","90s RNB B-Sides","4:22"

"Heads High","Mr. Vegas","93","90s RNB A-Sides/International/Club/Dance","3:38"

"Heartbreaker [Clean] (Dj Cut 2024 OK)","Mariah Carey feat. Da Brat & Missy Elliott","100","90s A-Sides Rap Nation/Top Rap{Solo}","4:19"

"Hey Mr. D.J. (Original Mix)","Zhane","101.290000","90s RNB A-Sides","4:14"

"History Repeating (Dj Cut 2023) (4 phrase)","Shirley Bassey feat. Propellerheads","143","90s RNB A-Sides/Club/Dance","4:02"

"Hit em up style (Dj Cut 2025)","Blue Cantrell","91","90s RNB B-Sides","3:59"

"Hold on","En Vogue","97","90s RNB A-Sides","5:04"

"Honey","Mariah Carey","96","90s RNB B-Sides/Dance","5:00"

"Hot Steppa (Dj Cut 2025) [From the top]","Ini Kamoze","100","90s RNB A-Sides/Menssports","4:26"

"Hot Steppa (Dj Cut 2025) [From 1st bar]","Ini Kamoze","100","90s RNB B-Sides","4:07"

"Hot Thing","Prince","108","90s RNB A-Sides","5:40"

"Hotel","Cassidy","93","90s RNB A-Sides","4:12"

"How Deep Is Your Love (Class Edit)","Dru Hill & Redman","94","90s RNB A-Sides","4:05"

"How Deep Is Your Love (Dirty)","Dru Hill & Redman","94","90s RNB A-Sides","4:11"

"Humpin' Around","Bobby Brown","110","90s RNB A-Sides","6:18"

"I Can See Clearly Now","Jimmy Cliff","120","90s RNB B-Sides","3:11"

"I Just Might","T-Boz","95","90s RNB B-Sides","3:50"

"I Like It Like That","Tito Nieves","128","90s RNB A-Sides/International/Club/Dance/Menssports","3:49"

"I Like The Way (The Kissing Game)","Hi-Five","104","90s RNB B-Sides","5:50"

"I Need To Know","Marc Anthony","115","90s RNB A-Sides/Club/Dance","3:48"

"I Wanna Be Down","Brandy","86","90s RNB B-Sides","4:52"

"I Wanna Sex You Up (Dj Cut 2025)","Color Me Badd","101","90s RNB A-Sides","4:15"

"I Want It That Way [Dj Special 2025]","Backstreet Boys","99","90s RNB A-Sides/Club/Dance","3:43"

"I Want You Back (Radio Edit) {Nsync}","*Nsync","112","90s RNB A-Sides/Club/Dance","3:22"

"Iesha (Dj Cut 2026) 2.0","Another Bad Creation","111.000000","                            ","3:10"

"If I Had No Loot [Radio Mix]","Tony! Toni! Toné!","107","90s RNB A-Sides","4:03"

"If You Had My Love","Jennifer Lopez","96","90s RNB B-Sides","3:40"

"If Your Girl Only Knew","Aaliyah","89","90s RNB B-Sides","4:10"

"If","Janet Jackson","105","90s RNB B-Sides","4:32"

"I'm Dreamin ","Christopher Williams","110","90s RNB A-Sides","4:55"

"I'm Every Woman (Club Mix)","Whitney Houston","119","90s RNB A-Sides/Club/Dance","6:53"

"I'm Every Woman (Original)","Whitney Houston","120","90s RNB A-Sides","4:45"

"I'm So Into You","SWV","99","90s RNB B-Sides","4:38"

"In My Bed (So So Def Mix) (8ct looper)","Dru Hill","95","90s RNB B-Sides","4:02"

"In the Closet","Michael Jackson","110","90s RNB B-Sides","6:31"

"Independant (Dj Cut 2025)","Destiny's Child","98","90s RNB A-Sides","3:39"

"Is It Good To You [feat. Tammy Lucas]","Teddy Riley","107","90s RNB A-Sides","4:17"

"It's Gonna Be Me (4 Phrase)","*Nsync","83","90s RNB A-Sides/Club/Dance","3:12"

"It's Over Now","112","98","90s RNB B-Sides","4:25"

"Jam -Short Edit- (Dj cut 2025)","Michael Jackson","116","90s RNB A-Sides/Menssports","5:26"

"Jumpin Jumpin (Cold Start)","Destiny's Child","89","90s RNB A-Sides","3:50"

"Jumpin Jumpin (Dj Cut 2024)2.0","Destiny's Child","89","90s RNB A-Sides","3:44"

"Just Another Day (Jon Secada)","Jon Secada","105.460000","90s RNB A-Sides/Club/Dance","5:27"

"Just Friends (Sunny) [Clean]","Musiq Soulchild","95","90s RNB B-Sides","4:11"

"Just Kickin It (Class Edit)","Xscape","81.000000","90s RNB A-Sides","3:00"

"La Copa de la Vida (Oficial de la Copa Mundial, Francia '98) (Spanglish Radio Edit)","Ricky Martin","127","90s RNB A-Sides/Latin-International/Club/Dance","4:41"

"Lady Marmalade (Moulin Rouge)[Dj Cut 2026]","Christina Aguilera and Lil' Kim and Mya and P!nk","110","90s RNB A-Sides","4:41"

"Lady","Lenny Kravitz","112","90s RNB A-Sides/Club/Dance","4:16"

"Larger Than Life","Backstreet Boys","107","90s RNB B-Sides","3:55"

"Let's Get Down (Dj Special 2022 OK)","Tony! Toni! Toné!","103","90s RNB A-Sides","4:54"

"Let's Get Loud","Jennifer Lopez","131","90s RNB A-Sides/WMSport","4:00"

"Live and Learn (Class Edit)","Joe Public","106","90s RNB B-Sides","4:13"

"Love Like This Before","Faith Evans","101","90s RNB A-Sides","4:40"

"Love No Limit (Puff Daddy Mix)","Mary J. Blige","90","90s RNB B-Sides","3:55"

"Luv Me Luv Me","Shaggy Feat. Janet Jackson","97","90s RNB A-Sides","3:49"

"Lyrics 2 the Rhythm","Essence","110","90s RNB B-Sides","4:07"

"Macarena","Rio feat. Los","103","90s RNB A-Sides/International/Club/Dance","3:51"

"Make It Happen","Mariah Carey","107","90s RNB B-Sides","5:08"

"Mambo No. 5 (A Little Bit Of)(4 Phrase)","Lou Bega","87","90s RNB A-Sides/Menssports","3:39"

"Maríab {UN-DOS-THRES} (DJ cut) (Radio Edit)","Ricky Martin","126","90s RNB A-Sides/International/Club/Dance","4:38"

"Maria Bethânia","Santana","98","90s RNB A-Sides/Club/Dance","3:03"

"Missing (Todd Terry Club Mix)","Everything But The Girl","123","90s RNB B-Sides/Club/Dance","4:57"

"Monster Hash","The Toyes","133","90s RNB B-Sides","3:19"

"MotownPhilly","Boyz II Men","114","90s RNB A-Sides/Menssports","3:59"

"Move Like This (Lydia Oh Lydia)[Dj Cut 2024 OK]","K7","106","90s RNB A-Sides/Club/Dance","5:10"

"Murder She Wrote","Maxi Priest","95","90s RNB A-Sides/International/Club/Dance","4:04"

"Music [HQ2 Radio Mix]","Madonna","130","90s RNB B-Sides","4:06"

"My Boo (Radio Mix)(Dj Special 2022) Make 2nd without slow intro","Ghost Town DJs","130","90s RNB B-Sides","3:47"

"My Lovin (Your Never Gonna Get It)-club Mix  (Dj Cut)","En Vogue","98","90s RNB A-Sides","4:12"

"My Name Is Prince [Class Edit]","Prince ","117","90s RNB B-Sides/Club","5:33"

"My Name Is Prince [Original Dirty)","Prince & the New Power Generation","117","90s RNB B-Sides/Club","8:04"

"My Way","Usher","90","90s RNB A-Sides","3:30"

"Nights Like This I Wish (That Raindrops Would Fall","After 7","97","90s RNB B-Sides","4:05"

"No Diggity [Clean] (Dj Cut 2025) -88.69 BPM-","Blackstreet & Dr. Dre & Queen Pen","88","90s RNB A-Sides/Menssports","5:15"

"No Letting Go","Wayne Wonder","102","90s RNB B-Sides","3:18"

"No More","Ruff Endz","97","90s RNB B-Sides","4:03"

"No No No Pt 2'","Destiny's Child","91","90s RNB A-Sides","3:29"

"No Scrubs","TLC","93","90s RNB A-Sides","3:34"

"Oh Carolina","Shaggy","124","90s RNB A-Sides/International/Club/Dance","3:11"

"Only You","112","96","90s RNB B-Sides","4:49"

"Opposites Attract","Paula Abdul","117","90s RNB A-Sides","4:25"

"Peach (Class Edit) {Dj Cut 2025}2.0","Prince","122","90s RNB B-Sides","3:25"

"Peach (Dirty) {Dj Cut 2025}2.0","Prince","122","90s RNB B-Sides","3:28"

"Playground (Dj Cut 2026)","Another Bad Creation","111","80s RNB- A Sides/HH","4:14"

"Pony [Album Version]","Ginuwine","142","90s RNB A-Sides","4:12"

"Queen of the Night (Radio Edit) [Doubletime)","Whitney Houston","105","90s RNB B-Sides","3:07"

"Quit Playing Games (With My Heart)","Backstreet Boys","100","90s RNB A-Sides/Club/Dance","3:53"

"Real Love (instr)","Mary J Blidge","95","90s RNB B-Sides","4:43"

"Real Love","Mary J. Blige","95","90s RNB A-Sides","4:30"

"Remember the Time (Dj Cut 2025)","Michael Jackson","108","90s RNB A-Sides","4:07"

"Return Of The Mack Instrumental","Mark Morrison","95","90s RNB B-Sides","5:48"

"Return Of The Mack","Mark Morrison","95","90s RNB A-Sides","3:33"

"Rhythm Divine","Enrique Iglesias","102","90s RNB A-Sides/International/Club/Dance","3:30"

"Right Here","SWV","94","90s RNB B-Sides","3:50"

"Runaway","Janet Jackson","109","90s RNB A-Sides","3:34"

"Sadeness, Pt. 1 [Extended Trance Mix]","Enigma","97","90s RNB A-Sides/Club/Dance","4:46"

"Say You'll Be There","Spice Girls","107","90s RNB A-Sides/Club/Dance","3:56"

"Scream","Michael Jackson/Janet Jackson","106","90s RNB A-Sides","4:38"

"Sending All My Love","Tolga","106","90s RNB B-Sides","4:10"

"Sensitivity ","Ralph Tresvant ","97","90s RNB B-Sides","4:41"

"Sexy M.F {Clean Edit} (Dj Cut 2024)","Prince","106","90s RNB B-Sides","3:59"

"Sexy M.F {Dirty} (Dj Cut 2024)","Prince","106","90s RNB B-Sides","5:31"

"Shake Your Bon-Bon (Dj Cut 2026)","Ricky Martin","100","90s RNB A-Sides/International/Club/Dance","3:32"

"She's Playing Hard To Get","Hi Five","100","90s RNB B-Sides","4:37"

"Silly Ho - 73 (4 phrase)","TLC","145","90s RNB A-Sides","4:15"

"So Into You (Dj Cut)","Tamia","92","90s RNB B-Sides","4:22"

"So Smooth [Santana] (Dj Cut 2026)","Santana Feat. Rob Thomas","116.000000","Amazon.com Song ID: 214934480","5:09"

"So You Like What You See (Dj Cut 2025)","Samuelle","108","90s RNB B-Sides","4:56"

"Someday","Mariah Carey","110","90s RNB A-Sides","4:08"

"Soul Bossa Nova","Quincy Jones","153","90s RNB B-Sides","2:45"

"Spice Up Your Life","Spice Girls","124","90s RNB A-Sides/Club/Dance/WMSport","2:56"

"Straight Up (Dj Cut 2025)","Paula Abdul","96","90s RNB A-Sides/Club/Dance","4:31"

"Stutter (Remix){Dj Cut 2025) [Explicit] 2.0","Joe feat. Mystikal","90","90s RNB A-Sides","3:49"

"Stutter (Remix){Dj Cut 2025) {Clean} 2.0","Joe feat. Mystikal","90","90s RNB A-Sides","3:49"

"Suavemente (Dj Cut)","Elvis Crespo","124","90s RNB A-Sides/International/Club/Dance/Menssports","4:20"

"Sweat (A La La La La Long) Cold Start","Inner Circle","86","90s RNB A-Sides/International/Club/Dance","3:46"

"Sweat (A La La La La Long)[Dj Cut 2025]","Inner Circle","86","90s RNB A-Sides/International/Club/Dance","4:06"

"Take It Easy - Mad Lion","Mad Lion","98","90s RNB A-Sides/International/Club/Dance","4:31"

"Tearin' up My Heart (Radio Edit) (Dj Cut 2022 OK)","*Nsync","110","90s RNB A-Sides/Club/Dance","3:37"

"Tell Me","Groove Theory","93","90s RNB A-Sides","3:56"

"Temptation","Corina","118","90s RNB B-Sides","4:02"

"Thank You - [Boyz II Men](Dj Cut 2025)","Boyz II Men","95","90s RNB A-Sides","4:42"

"That Girl","Maxi Priest & Shaggy","138","90s RNB A-Sides/International/Club/Dance","4:00"

"That's the Way Love Goes","Janet Jackson","97","90s RNB A-Sides","4:26"

"The Blues","Tony! Toni! Toné!","102","90s RNB A-Sides","4:08"

"The Boy Is Mine","Brandy & Monica","93","90s RNB B-Sides","4:55"

"The Right Kind Of Love (Beverly Hills 90210) ","Jeremy Jordan","89","90s RNB B-Sides","4:31"

"The Thong Song (Edit) [Dj Cut 2024]","Sisqo","121","90s RNB A-Sides","3:52"

"There You Go (Dj Cut 2022)","Pink","108","90s RNB B-Sides","3:24"

"They Don't Care About Us","Michael Jackson","90","90s RNB B-Sides","4:43"

"This Is for the Lover In You","Babyface feat. LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels","94","90s RNB B-Sides","4:00"

"This Is How We Do It","Montell Jordan","103","90s RNB A-Sides/Menssports","4:37"

"Together Again","Janet Jackson","123","90s RNB B-Sides","4:07"

"Tom's Diner","Suzanne Vega/The DNA Disciples","99","90s RNB A-Sides/Club/Dance","3:48"

"Too Close","Next","99","90s RNB A-Sides","4:19"

"Touch It (Dj Cut 2026)","Monifah","115.000000"," 00000000 00000210 000009C0 0000000000C142B0 00000000 00691FD7 00000000 00000000 00000000 00000000 00000000 00000000","4:59"

"Touch Me (All Night Long)","Cathy Dennis","118","90s RNB B-Sides","4:27"

"Touch Me, Tease Me (Dj Special 2023)","Case Ft. Foxy Brown","88","90s RNB B-Sides","3:45"

"Tricky, Tricky","Lou Bega","152","90s RNB A-Sides/Club/Dance","3:23"

"Try Again","Aaliyah","93","90s RNB A-Sides","4:44"

"Turn Your Lights Down Low [feat. Lauryn Hill]","Bob Marley","83","90s RNB A-Sides/International/Club/Dance/Menssports","5:46"

"Twisted","Keith Sweat","88","90s RNB B-Sides","4:31"

"Waiting For Tonight","Jennifer Lopez","125","90s RNB A-Sides","4:10"

"Wanna Get With You (Dj Cut 2026)","Guy","110","90s RNB A-Sides","4:40"

"Wannabe (Dj Cut)","Spice Girls","110","90s RNB A-Sides/Club/Dance/WMSport","2:55"

"Wasn't Me (Cold Start)","Shaggy","95","90s RNB A-Sides","3:40"

"Wasn't Me (Dj Cut 2024)2.0","Shaggy","95","90s RNB A-Sides","3:31"

"Waterfalls","TLC","86","90s RNB A-Sides","4:40"

"Weekend Thing","Mary J Blidge","94","90s RNB B-Sides","2:54"

"What About Your Friends [Intro Boost 2024]","TLC","106","90s RNB A-Sides/WMSport","4:54"

"Whatever (Radio Edit)","Ideal","102","90s RNB B-Sides","3:48"

"What's The 411  (Remix F. Biggie) [Explicit]{Dj Cut 2025)","Mary J. Blige","89","90s RNB B-Sides","4:27"

"What's The 411  [feat. Grand Puba] [Edited]{Dj Cut 2025}","Mary J. Blige & Grand Puba","89","90s RNB B-Sides","4:02"

"What's The 411 (Remix F. Biggie) [Edited]{Dj Cut 2025}","Mary J. Blige","89","90s RNB B-Sides","3:48"

