
Title,Artist,Album,Year,Length,BPM


"2 Hype","Kid 'N Play","Kid N Play","","3:58","134"

"2 Live Crew Mega Mix (Extra Clean Edit)","2 Live Crew","2 Live Crew;","","5:20","127"

"2 Live Crew Mega Mix (Clean)","2 Live Crew","2 Live Crew","","5:20","127"

"6 'N The Morning (Clean) (Dj Cut 2022)","Ice T","Rhyme Pays","","7:22","92"

"6 'N The Morning (Dirty) (Dj Cut 2022)","Ice T","Rhyme Pays","","7:26","92"

"8 Ball (Clean Remix)","Eazy-E","Eazy-E","","4:33","90"

"8 Ball [Dirty] (Dj Cut 2025)","Eazy-E","Straight Outta Compton","1989","4:39","90"

"8th Wonder","The Sugarhill Gang","Hip Hop Greats: Classic Raps","1990","5:41","107"

"33% God","Beastie Boys","Love American Style EP","1989","3:53","103"

"100 Miles and Running (Radio Edit)","N.W.A","N.W.A","","4:29","112"

"415 (Dirty)","415","41Fivin (1990)","","5:44","97"

"415 (Edited)","415","41Fivin (1990)","","5:43","97"

"911 Is A Joke (Class Edit)","Public Enemy","Fear of a Black Planet","","3:17","103"

"A Bitch Iza Bitch","N.W.A","N.W.A;","    ","3:05","95"

"A Fly Girl","Boogie Boys","Street Jams: Hip-Hop from the Top, Vol. 2","1992","5:36","98"

"Aint Gonna Hurt Nobody","Kid 'N Play","House Party II Soundtrack","1991","4:56","110"

"Ain't No Future in Yo' Frontin'","MC Breed and DFC","Old School Rap, Vol. 4","1999","3:58","102"

"AIN'T NO HALF STEPPIN'","BIG DADDY KANE","Marley Marl's House of Hits","1989","5:39","100"

"Ain't Nothin To It (Dj Cut)","k9 posse","Ain't Nothin To It (Dj Cut)","","3:15","104"

"AJ Scratch","Kurtis Blow","artdecade.us","1994","5:52","97"

"All You Can Eat","Fat Boys","The Best Of The Fat Boys","2010","3:28","100"

"Alwayz Into Somethin' (Edited)","N.W.A","Greatest Hits","","4:11","88"

"Alwayz Into Somethin' (Dirty)","N.W.A.","Greatest Hits","1991","4:30","89"

"Amerikkka's Most Wanted (Clean Edit)","Ice Cube","AmeriKKKa's Most Wanted","1990","4:08","107"

"Amerikkka's Most Wanted","Ice Cube","AmeriKKKa's Most Wanted","1990","4:08","107"

"And My Beat Goes Boom (Short Version)","Egyptian Lover","Egyptian Lover","","4:05","121"

"Apache","The Sugarhill Gang","The Sugar Hill Records Story","2009","6:13","115"

"Around the Way Girl","L.L. Cool J","All World: Greatest Hits","1996","4:05","101"

"Back To Boom (Dj Cut 2023)","Kid Sensation","Rollin' With Number One","1999","4:10","130"

"Banned In The USA clean","2 Live Crew","2 Live Crew","1997","4:25","116"

"Basketball","Kurtis Blow","Old School Rap, Vol. 2 [Thump]","1995","3:53","105"

"Bass (Remix) ","King Tee","Act A Fool [Explicit]","2008","4:43","100"

"Bass Game","Finesse and Synquis","Uptown's Kickin It!","","4:45","94"

"Bassline","Mantronix","The Album","1999","5:25","103"

"Be Yourself (Dj Cut 2022)","Whodini","Back In Black","","3:31","101"

