Song Title,Artists,BPM,Comments,Length
"Call Me - Blondie","Blondie","142","80s Rock- A Sides/Classic Rock","3:32"

"Candy - Iggy Pop","Iggy Pop","150","80s Rock- B Sides","4:05"

"Can't Stand Losing You","The Police","142","80s Rock- A Sides/Classic Rock","3:04"

"Cars (Dj Special 2022)","Gary Numan","128","80s Rock- B Sides","3:59"

"Centerfold","J. Geils Band","115","80s Rock- B Sides","3:37"

"Cherish (132bpm)","Madonna","132","80s Rock- A Sides/Pop/Classic Rock/New Wave/Alt","3:52"

"Church of the Poison Mind","Culture Club","130","80s Rock- A Sides/Pop/New Wave/Alt","3:31"

"Close To Me (doubletime)","The Cure","92","80s Rock- A Sides/Guitar-Alt/New Wave/Alt","3:41"

"Closer To Fine (4 phrase Doubletime)","Indigo Girls","98","80s Rock- B Sides","4:02"

"C'mon Eileen (ends at 123bpm)","Drexy's Midnight","107","80s Rock- A Sides/Classic Rock/New Wave/Alt","4:03"

"Conga","Gloria Estefan/Miami Sound Machine","122","80s Rock- A Sides/Pop/Classic Rock/WMSport","4:15"

"Cradle of Love","Billy Idol","143","80s Rock- A Sides/Classic Rock/New Wave/Alt","4:41"

"Crash","The Primitives","85","80s Rock- B Sides","2:32"

"Crazy Little Thing Called Love","Queen","153","80s Rock- A Sides/Classic Rock","2:44"

"Crazy Train (remastered)","Ozzy Osbourne","137","80s Rock- A Sides/Guitar-Alt/Classic Rock/New Wave/Alt/MensSports","4:56"

"Cruel Summer (Dj Cut 2025)","Bananarama","108","80s Rock- A Sides/New Wave/Alt","3:46"

"Cult Of Personality (Dj Edit)","Living Colour","92","80s Rock- A Sides/Guitar-Alt/New Wave/Alt/MensSports","4:41"

"Cum on Feel the Noise (Dj Cut 2024)","Quiet Riot","146","80s Rock- A Sides/Guitar-Alt/New Wave/Alt/MensSports","4:52"

"Da Da Da ","Trio","131","80s Rock- B Sides","3:27"

"Dance (Pt 1)","The Rolling Stones","107","80s Rock- B Sides","4:23"

"Dance Hall Days","Wang Chung","102","80s Rock- A Sides/Classic Rock","7:21"

"Dancing In Heaven (Orbital Be-Bop)","Q-Feel","137","80s Rock- B Sides","3:02"

"Dancing In The Dark","Bruce Springsteen","148","80s Rock- A Sides/Classic Rock","4:05"

"Dancing With Myself - 176 (4 Phrase)","Billy Idol","88","80s Rock- A Sides/Classic Rock/New Wave/Alt/MensSports","3:20"

"Dark Entries (doubletime)","Bauhaus","85","80s Rock- B Sides","3:52"

"De Do Do Do, De Da Da Da","The Police","147","80s Rock- A Sides/Classic Rock","4:10"

"Dead Mans Party (Dj cut) (4 Phrase)","Oingo Boingo","80","80s Rock- B Sides","6:22"

"Der Kommissar","After the Fire","121","80s Rock- B Sides","5:41"

"Desire (4 Phrase)","U2","108","80s Rock- B Sides","2:59"

"Devil Inside","INXS","150","80s Rock- B Sides","5:12"

"Dirty Laundry","Don Henley","98","80s Rock- A Sides/Classic Rock","5:37"

"Do You Believe In Love","Huey Lewis And The News","114","80s Rock- B Sides","3:29"

"Do You Really Want To Hurt Me (Cold Start)","Culture Club","100","80s Rock- A Sides/Pop/New Wave/Alt","4:24"

"Do You Really Want To Hurt Me (Dj Cut 2026)","Culture Club","100.450000","                            ","3:58"

