
Title,Artist,Album,Year,Length,BPM
"Mind Your Own Business","Hank Williams","40 Greatest Hits","1978","2:58","140"

"Moanin’ the Blues - 76.23","Hank Williams","Countrypolitan Classics - Hank Williams (100 Essential Tracks)","2013","2:28","152"

"Move It On Over","Hank Williams","The Best Of Hank Williams","2000","2:45","84"

"Mr. Moonlight","Johnny Horton","The Spectacular Johnny Horton","2000","2:30","155"

"My Heart Has A Mind Of Its Own","Connie Francis","20th Century Masters: The Millennium Collection: Best of Connie Francis","1999","2:34","109"

"Mystery Train (Country) (doubletime)","Elvis Presley","The 50 Greatest Hits","2020","2:28","120"

"No Help Wanted (Doubletime)","The Carlisles","Country Number Ones [Disc 1]","","2:27","104"

"Oh Lonesome Me (doubletime)","Don Gibson","RCA Country Legends: Don Gibson","2001","2:30","102"

"Out Behind the Barn (doubletime)",""Little" Jimmy Dickens","16 Biggest Hits","2006","2:22","105"

"Playboy full boost","Wynn Stewart","Oh Lonely Crowd","1960","2:23","131"

"Riders in the Sky (A Cowboy Legend)(Dj Special 2022)(4 phrase)","Vaughn Monroe ","Riders in the Sky (A Cowboy Legend)","1949","2:57","122"

"Saturday Night Fish Fry (Pts. 1 & 2) (Dj Cut 2022)","Louis Jordan & His Tympany Five","20th Century Masters: The Millennium Collection: Best Of Louis Jordan (Reissue)","1999","5:31","89"

"Singing The Blues (Dj Cut)","Marty Robbins","A Lifetime of Song","1986","2:36","141"

"Sixteen Tons (Tennessee Ernie Ford)","Tennessee Ernie Ford","Sixteen Tons","1955","2:35","146"

"Take an Old Cold 'Tater (and Wait) (doubletime)",""Little" Jimmy Dickens","16 Biggest Hits","2006","2:47","102"

"That'll Be The Day - Buddy Holly (Dj Cut 2022)","Buddy Holly","That'll Be the Day","","2:21","127"

"That's All Right [Country] (Doubletime)","Elvis Presley","The 50 Greatest Hits","2020","1:58","105"

"That's the Way I Feel (Doubletime)","Faron Young","The Complete Capitol Hits of Faron Young","1960","1:54","100"

"The Same Old Me","Ray Price","Country Number Ones [Disc 4]","","2:44","134"

"The Yellow Rose Of Texas (Dj Special 2023)","Ernest Tubb","The Definitive Collection","2006","2:24","101"

"There You Go [J Cash] (Dj Cut 2022)","Johnny Cash","Country Number Ones [Disc 3]","","2:24","98"

"There's A Big Wheel (Doubletime)","Wilma Lee & Stoney Cooper","22 Wilma Lee Cooper Hits - Keep On The Sunny Side","2007","2:15","117"

"Too Old to Cut the Mustard (Doubletime)","Red Foley","Mr. Country Music (Remastered)","2020","2:55","106"

"Under Your Spell Again (Single Version)","Ray Price","American Originals","1989","3:00","137"

"Wake Up Little Susie (Dj Cut 2022)(Doubletime)","Everly Brothers","The Everly Brothers (They're Off And Rolling)","","2:02","93"

"Walk The Line (8ct looper)","Johnny Cash","Johnny Cash","","2:42","106"

"Walkin' The Floor Over You (Doubletime)","Ernest Tubb","The Last Sessions: All Time Greatest Hits","1941","2:06","105"

"Walkin' After Midnight (105bpm)(8ct looper)","Patsy Cline","Walking After Midnight (Remastered)","2014","2:39","105"

"White Lightnin' (doubletime)","George Jones","George Jones - White Lightnin'","1959","2:32","159"

"White Lightning (Single Version)","George Jones","Best Of","1959","2:45","151"

"Why Baby Why (Webb Pierce)[8ct Looper]","Webb Pierce","Honky Tonk Song","1993","2:25","150"

"Wishful Thinking","Wynn Stewart","This Is Our Country - Wonderful Classics","1960","2:47","137"

"You Are My Sunshine (Gene Autry)(Dj Special 2023)(Doubletime)","Gene Autry","The Essential Gene Autry","2005","2:24","98"

"Your Cheatin' Heart","Hank Williams","","1952","2:43","128"
