
Title,Artist,Album,Year,Length,BPM


"(Ghost) Riders In the Sky","Johnny Cash","The Essential Johnny Cash","2002","3:45","109"

"(I'm A) Stand by My Woman Man (Dj Special 2023)","Ronnie Milsap","20 / 20 Vision","1976","2:27","119"

"An American Dream (Remastered 2001) [feat. Linda Ronstadt]","Nitty Gritty Dirt Band","Lost Hits Of The 70's Vol.2","2012","3:32","111"

"Are You Ready for the Country","Waylon Jennings","Ultimate Waylon Jennings","2004","3:12","117"

"Are You Sure Hank Done It This Way","Waylon Jennings","Ultimate Waylon Jennings","2004","2:56","113"

"Bandy the Rodeo Clown (Doubletime)","Moe Bandy","Bandy the Rodeo Clown","1975","2:53","97"

"Battle Of New Orleans (4 Phrase)","Nitty Gritty Dirt Band","Dirt, Silver & Gold","2014","3:21","80"

"Big Ball In Cowtown (4 Phrase)","Waylon Jennings","Waylon Live (Expanded Edition)","1976","2:40","117"

"Big Game Hunter - 78.98","Buck Owens","The Buck Owens Story, Volume 3: 1969-1989","1994","2:16","158"

"Big Wheel Cannonball","Dick Curless","Capitol Collectors Series","2013","2:32","114"

"Blanket On The Ground (Dj Cut 2023) (4 phrase)","Billie Jo Spears","Blanket On The Ground","2009","3:35","89"

"Boney Fingers","Hoyt Axton","The Greatest Country Classics Of All Time. Volume 1","2016","2:21","84"

"Can't You See (4 Phrase)","The Marshall Tucker Band","The Marshall Tucker Band","1973","6:05","81"

"Cheeseburger In Paradise (140 bpm)","Jimmy Buffett","Son Of A Son Of A Sailor","1978","2:56","140"

"Cindy, Cindy (Dj Cut 2023) [4 Phrase][Speeds up to 108)","Elvis Presley","The 70's Collection","1970","2:44","103"

"City Lights [Mickey Gilley] (Dj Cut 2023)","Mickey Gilley","Here I Am Again","2016","2:40","129"

"Clyde","Waylon Jennings","RCA Country Legends: Waylon Jennings","2009","2:41","108"

"Coal Miner's Daughter (Live - Re-recording) - 75.09","Loretta Lynn","Coal Miner's Daughter","2004","3:14","150"

"Coal Miner's Daughter (Single Version) (Amplified)","Loretta Lynn","Coal Miner's Daughter","1971","3:01","137"

"Coca Cola Cowboy","Mel Tillis","Ralph Emery's Country Legends Series","2000","3:30","124"

"Come a Little Bit Closer","Johnny Duncan & Janie Fricke","The Essential Johnny Duncan","2016","3:09","129"

"Come On In (You Did The Best You Could Do) (Album Version)","The Oak Ridge Boys","Step On Out","1985","3:28","125"

"Coward Of The County (Slow start)","Kenny Rogers","The Best Of Kenny Rogers: Through The Years","2018","4:20","91"

"Daddy Frank (The Guitar Man) (Dj cut 2022)(4 phrase)","Merle Haggard And The Strangers","Down Every Road 1962-1994","","3:15","101"

"Dancing The Night Away (Dj Special 2022)","Tanya Tucker","The Ultimate Collection","2009","3:46","131"

"Daydreams About Night Things","Ronnie Milsap","Night Things","1975","2:23","139"

"Dead Skunk","Loudon Wainwright III","Album III","1990","3:06","146"

"Don't Believe My Heart Can Stand Another You","Tanya Tucker","The Ultimate Collection","2009","2:47","83"

"Don't Fight the Feelings of Love (Dj cut 2022)(4 phrase)","Charley Pride","The Essential Charley Pride","2006","2:07","100"

