Song Title,Artists,BPM,Comments,Length

"Good Morning Good Morning (Dj Special 2022)","The Beatles","121","60s B-Sides_Acid Rock","2:44"

"Good Times Bad Times (8ct looper)","Led Zeppelin","94","60s B-Sides_Acid Rock","2:47"

"Got To Get You Into My Life (Remastered 2009)","The Beatles","136","60s A-Sides_Acid Rock","2:29"

"Green-Eyed Lady (8ct looper)","Sugarloaf","151","60s B-Sides_Acid Rock","3:37"

"Green River (8ct looper)","Creedence Clearwater Revival","141","60s B-Sides_Acid Rock","2:34"

"Green Tambourine (8ct Looper)","The Lemon Pipers","110","60s B-Sides_Acid Rock","2:26"

"Half Moon (Tempo Adjusted 2022)","Janis Joplin Big Brother & The Holding Company","119","60s B-Sides_Acid Rock","3:52"

"Happy Together (8ct looper)","The Turtles","120","60s A-Sides_Acid Rock","2:57"

"Heartbreaker","Led Zeppelin","96","60s A-Sides_Acid Rock","4:15"

"Hello, Goodbye (8ct looper)","The Beatles","99","60s A-Sides_Acid Rock","3:29"

"Hello, I Love You","The Doors","116","60s A-Sides_Acid Rock","2:40"

"Hey Bulldog (Remastered 2009)","The Beatles","101","60s B-Sides_Acid Rock/MensSports","3:11"

"Honkey Tonk Woman (SLOWSTART)","The Rolling Stones","120","60s A-Sides_Acid Rock/Pop","3:00"

"How Many More Times","Led Zeppelin","138","60s A-Sides_Acid Rock","8:28"

"Hush","Deep Purple","109","60s B-Sides_Acid Rock","4:21"

"I Am The Walrus (Dj Cut 2023) (4 Phrase)","The Beatles","85","60s A-Sides_Acid Rock","4:18"

"I Feel Free - 176","Cream","88","60s B-Sides_Acid Rock","2:53"

"I Got You Babe (Sonny and Cher) (147.45bpm)","Sonny & Cher","147","60s A-Sides_Acid Rock","3:12"

"I Heard It Through The Grapevine (Mono Single)","Creedence Clearwater Revival","118","60s B-Sides_Acid Rock","3:53"

"I Heard It Through The Grapvine (CCR) (Stereo Version)","Creedence Clearwater Revival","118","60s B-Sides_Acid Rock","11:10"

"I Want To Tell You","The Beatles","129","60s B-Sides_Acid Rock","2:28"

"If I Needed Someone (8ct looper)","The Beatles","129","60s B-Sides_Acid Rock","2:22"

"I'm A Believer (Monkees) [Dj Cut 2025]","The Monkees","80","60s A-Sides_Acid Rock/Pop","2:52"

"I'm A Man (Spencer Davis Group)","The Spencer Davis Group","128","60s B-Sides_Acid Rock","2:57"

"I'm In Love (Badfinger) [Dj Special 2023]","Badfinger","138","60s A-Sides_Acid Rock","2:19"

"I'm Looking Through You (doubletime)","The Beatles","86","60s B-Sides_Acid Rock","2:26"

"Immigrant Song","Led Zeppelin","112","60s B-Sides_Acid Rock","2:27"

"In The Summertime (Dj Cut) - Mungo Jerry","Mungo Jerry","82","60s B-Sides_Acid Rock","3:22"

"In-a-gadda-da-vida (short) (Slow Start)","Iron Butterfly ","118","60s A-Sides_Acid Rock","4:25"

"Incense And Peppermints (Stereo Version)","Strawberry Alarm Clock","132","60s B-Sides_Acid Rock","2:48"

"Instant Karma (Dj Cut) (119 bpm)","John Lennon","119","60s A-Sides_Acid Rock","3:23"

"Intruder (Dj Special 2022)","Janis Joplin Big Brother & The Holding Company","135","60s B-Sides_Acid Rock","2:35"

"Izabella (Tempo Adjusted)","Jimi Hendrix","110","60s B-Sides_Acid Rock","2:41"

"Jingo Va (Dj cut 2022)","Santana","125","60s A-Sides_Acid Rock","2:47"

"Jumpin' Jack Flash (Dj Cut 2023)","The Rolling Stones","136","60s A-Sides_Acid Rock","3:42"

"Just Dropped In (To See What Condition My Condition Was In) (8ct looper)","Kenny Rogers & The First Edition","114","60s B-Sides_Acid Rock","3:21"

"L.A. Woman (Doubletime) (86 bpm)","The Doors","86","60s A-Sides_Acid Rock/Pop","7:59"

"Last Train To Clarksville (Tempo Adjusted)","The Monkees","98","60s A-Sides_Acid Rock/Pop","2:46"

"Layla","Derek And The Dominos","115","60s B-Sides_Acid Rock","3:11"

"Let's Spend The Night Together","The Rolling Stones","140","60s A-Sides_Acid Rock","3:38"

"Light My Fire","The Doors","131","60s A-Sides_Acid Rock","7:00"

"Living Loving Maid (She's Just a Woman)( Dj cut 2022)","Led Zeppelin","152","60s A-Sides_Acid Rock","2:45"

"Lookin' Out My Back Door (Studio)","Creedence Clearwater Revival","105","60s A-Sides_Acid Rock","2:33"

"Looking Out My Backdoor (live)","Creedence Clearwater Revival","99","60s B-Sides_Acid Rock","2:45"

"Lover Her Madly ","The Doors","147","60s A-Sides_Acid Rock","3:39"

"Love Me Two Times","The Doors","133","60s A-Sides_Acid Rock","3:16"

"Love Street","The Doors","115","60s B-Sides_Acid Rock","2:57"

"Lucy In The Sky With Diamonds (Dj Special 2022)(8ct looper)","The Beatles","94","60s B-Sides_Acid Rock","3:46"

"Maggie's Farm (doubletime)","Bob Dylan","88","60s B-Sides_Acid Rock","3:55"

"Magic Carpet Ride (Dj Cut 2025)","Steppenwolf","111","60s A-Sides_Acid Rock/Pop/Menssports","4:36"

"Magical Mystery Tour (Ends with Get Back)","The Beatles","83","60s B-Sides_Acid Rock","2:49"

"Mama Told Me Not to Come (8ct Looper)","Three Dog Night","119","60s A-Sides_Acid Rock","3:17"

"Manic Depression (four 3 counts)","Jimi Hendrix","149","60s B-Sides_Acid Rock","3:42"

"Mary, Mary (8ct looper)","The Monkees","127","60s A-Sides_Acid Rock","2:16"

"Maxwell's Silver Hammer (Remastered 2009)","The Beatles","131","60s A-Sides_Acid Rock","3:42"

"Mellow Yellow","Donovan","104","60s B-Sides_Acid Rock","3:47"

"Midnight Rambler","The Rolling Stones","131","60s B-Sides_Acid Rock","9:11"

"Monday Monday (8ct looper)","The Mama's And The Papa's","108","60s B-Sides_Acid Rock","3:19"

"Mony Mony - Tommy James And The Shondells","Tommy James And The Shondells","130","60s A-Sides_Acid Rock/Pop/Menssports","2:54"

"Moondance","Van Morrison","131","60s A-Sides_Acid Rock","4:36"

"Moonlight Drive","The Doors","111","60s A-Sides_Acid Rock","3:04"

"Mother's Little Helper (Doubletime)","The Rolling Stones","99","60s B-Sides_Acid Rock","2:49"

"Move Over","Janis Joplin Big Brother & The Holding Company","133","60s B-Sides_Acid Rock","3:41"

"Mr Tambourine Man (Slow Start)(8ct looper)","The Byrds","120","60s B-Sides_Acid Rock","2:30"

"Mrs. Robinson (doubletime)","Simon & Garfunkel","92","60s A-Sides_Acid Rock/Pop","4:03"

"My Bonnie (class edit) (8ct looper)","The Beatles & Tony Sheridan","88","60s B-Sides_Acid Rock","2:07"

"My Eyes Have Seen You","The Doors","132","60s B-Sides_Acid Rock","2:30"

"My Generation (Stereo Version)","The Who","97","60s A-Sides_Acid Rock","3:19"

"My Generation","The Who","94","60s A-Sides_Acid Rock/Menssports","3:19"

"Na Na Hey Hey Kiss Him Goodbye","Steam","115","60s A-Sides_Acid Rock/Pop","4:09"

"Nowhere Man (Dj special 2022)","The Beatles","121","60s A-Sides_Acid Rock","2:51"

"Ob-La-Di, Ob-La-Da","The Beatles","113","60s A-Sides_Acid Rock/Pop","3:09"

"Octopus's Garden (Dj Special 2023)","The Beatles","92","60s B-Sides_Acid Rock","2:52"

"Old Brown Shoe (Dj Special 2023)","The Beatles","143","60s A-Sides_Acid Rock","3:21"

"Old Brown Shoehihat","The Beatles","143","60s A-Sides_Acid Rock","3:21"

"On The Road Again (Canned Heat)","Canned Heat","130","60s B-Sides_Acid Rock","4:56"

"One (8ct looper)","Three Dog Night","121","60s B-Sides_Acid Rock","3:04"

"One After 909 (Doubletime)","The Beatles","92","60s B-Sides_Acid Rock","2:56"

"Oye Como Va","Santana","128","60s A-Sides_Acid Rock/Panther Soul/Pop","4:15"

"Paint It Black","The Rolling Stones","159","60s A-Sides_Acid Rock","3:43"

"Peace Frog","The Doors","111","60s A-Sides_Acid Rock","2:58"

"People Are Strange (Dj Cut)","The Doors","119","60s B-Sides_Acid Rock","2:01"

"People Got to Be Free (Dj Cut 2023)","The Rascals","126","60s A-Sides_Acid Rock","3:09"

"Piece of My Heart (Dj Special 2022)","Janis Joplin Big Brother & The Holding Company","80","60s B-Sides_Acid Rock","4:28"

"Pleasant Valley Sunday (slow start)","The Monkees","88","60s A-Sides_Acid Rock","3:15"

"Proud Mary [CCR] (Dj Cut 2025)","Creedence Clearwater Revival","120","60s A-Sides_Acid Rock/Pop","3:13"

"Purple Haze(Slow_Start)","Jimi Hendrix","110","60s A-Sides_Acid Rock/Menssports","2:52"

"Rainy Day Women #12 & 35","Bob Dylan","94","60s B-Sides_Acid Rock","4:37"

"Ramble On","Led Zeppelin","97","60s B-Sides_Acid Rock","4:22"

"Revolution - The Beatles (Dj special 2022)","The Beatles","117","60s A-Sides_Acid Rock","3:24"

"Roadhouse Blues (8ct looper) (120bpm)","The Doors","120","60s A-Sides_Acid Rock/Menssports","4:07"

"Route 66 (Get Your Kicks) (SLOW START) {Stones} (83.47bpm)","The Rolling Stones","83","60s A-Sides_Acid Rock","2:21"

"Run For Your Life (Remastered 2009)","The Beatles","89","60s B-Sides_Acid Rock","2:21"

"San Francisco (Be Sure to Wear Flowers in Your Hair)(8ct looper)","Scott McKenzie","114","60s B-Sides_Acid Rock","2:59"

"Sgt. Pepper's Lonely Hearts Club Band (Reprise)","The Beatles","118","60s B-Sides_Acid Rock","1:20"

"Sgt. Pepper's Lonely Hearts Club Band","The Beatles","94","60s A-Sides_Acid Rock/Menssports","2:01"

"She's A Woman","The Beatles","89","60s B-Sides_Acid Rock","3:03"

"Slow Down","The Beatles","84","60s B-Sides_Acid Rock","2:57"

"Somebody to Love (Dj Cut 2022 OK)","Jefferson Airplane","131","60s A-Sides_Acid Rock/Pop/Menssports","3:01"

"Soul Kitchen","The Doors","117","60s B-Sides_Acid Rock","3:33"

"Soul Sacrifice (Santana @ Woodstock) (Short)","Santana","141","60s B-Sides_Acid Rock","8:24"

"Spirit In The Sky (warps)","Norman Greenbaum","127","60s A-Sides_Acid Rock","4:02"

"Spooky","The Classics IV","106","60s B-Sides_Acid Rock","2:56"

"Still Raining, Still Dreaming","Jimi Hendrix","112","60s A-Sides_Acid Rock","4:23"

"Strange Days","The Doors","121","60s B-Sides_Acid Rock","3:09"

"Street Fighting Man (Dj Cut 2023)","The Rolling Stones","125","60s B-Sides_Acid Rock","3:14"

"Suite_ Judy Blue Eyes (Dj Special 2023)","Crosby, Stills & Nash","151","60s B-Sides_Acid Rock","7:17"

"Summer In The City (Dj Cut)","Lovin' Spoonful","112","60s B-Sides_Acid Rock","2:41"

"Summer Kisses/In My Body","Elvis Presley","107","60s A-Sides_Acid Rock/Pop","3:18"

"Sunny (8ct looper)","Bobby Hebb","128","60s B-Sides_Acid Rock","2:45"

"Sunshine of Your Love","Cream","115","60s A-Sides_Acid Rock","4:11"

"Sympathy For The Devil (Live) {Remastered} (Slow start)","The Rolling Stones","110","60s A-Sides_Acid Rock/Pop","5:09"

"Sympathy For The Devil","The Rolling Stones","116","60s A-Sides_Acid Rock","6:18"

"Thank You Girl (Dj Special 2022)","The Beatles","139","60s B-Sides_Acid Rock","2:07"

"The Beat Goes On","Sonny & Cher","127","60s B-Sides_Acid Rock","3:30"

"The Changeling","The Doors","117","60s B-Sides_Acid Rock","4:25"

"The End (The Beatles)(Dj special 2022)","The Beatles","124","60s B-Sides_Acid Rock","2:17"

"The Fish Cheer/I-Feel-Like-I'm-Fixin'-To-Die Rag (Contury Joe McDonald)","Country Joe McDonald","105","60s B-Sides_Acid Rock","3:48"

"The Letter (Dj Cut 2023)","The Box Tops","139","60s B-Sides_Acid Rock","1:57"

"The WASP (Texas Radio And The Big Beat)","The Doors","119","60s B-Sides_Acid Rock","4:16"

"The Word (Remastered 2009) (8ct looper)","The Beatles","121","60s B-Sides_Acid Rock","2:43"

"These Boots Are Made For Walking (Tempo Adjusted)(4 phrase doubletime)","Nancy Sinatra","82","60s A-Sides_Acid Rock/Pop/Menssports","2:47"

"Touch Me","The Doors","111","60s A-Sides_Acid Rock","3:13"

"Travelin' Band","Creedence Clearwater Revival","82","60s B-Sides_Acid Rock","2:09"

"Truckin' (looper)","The Grateful Dead","126","60s B-Sides_Acid Rock","5:07"

