
Title,Artist,Album,Year,Length,BPM
"Desire","U2","The Best Of 1980-1990 CD1","    ","2:59","108"

"Disco Inferno","The Trammps","Pure Disco, Vol. 3","1998","3:36","129"

"Do You Love Me","The Contours","Frat Rock! [Box & Bonus Disc] Disc 1","1998","2:53","150"

"Doing It to Death","The JB's Feat: James Brown","The JB's Feat: James Brown","    ","5:09","116"

"Don't Be Cruel (doubletime)","Elvis Presley","30 #1 Hits","1956","2:05","84"

"Don't Stop Believin'","Journey","The Essential Journey","2001","4:09",""

"Dr. Feelgood (Dj Special 2022)","Mötley Crüe","Dr. Feelgood","1989","4:28","111"

"Drop It Like Its Hot (clean)","Snoop Dogg feat. Pharrel","Cutmaster C-Satellite Radio Pt. 2","","4:32","92"

"Electric Avenue (Boosted 2024)","Eddy Grant","Only Rock 'N Roll 1980-1984: 20 Pop Hits","1996","3:49","121"

"Enter Sandman","Metalica","Metallica","    ","5:32","123"

"Everybody Have Fun Tonight","Wang Chung","Backtrax USA with Kid Kelly","1998","4:47","129"

"Everybody Needs Somebody to Love",""Joliet" Jake Blues","Blues Brothers [Original Soundtrack]","1980","3:25","96"

"Everybody Wants Some","Van Halen","Women And Children First","1980","5:09","144"

"Everybody Wants You","Billy Squier","Emotions In Motion","    ","3:47","131"

"Fast As You","Dwight Yoakam","This Time","","4:48","126"

"Fat Lip (Dj Special 2024)","Sum 41","All Killer No Filler (UK Version)","2001","2:58","98"

"Feel Good Inc.","Gorillaz","Gorillaz Collection","2000-","3:43","138"

"Fight For Your Right to Party","Beastie Boys","Licence To Ill","    ","3:28","133"

"Fireball","Pitbull feat. John Ryan","Globalization [Clean]","2014","3:55","123"

"Fly Me To The Moon","Frank Sinatra","The Very Best Of Frank Sinatra [Disc 1]","    ","2:28",""

"Footloose (4 phrase doubletime)","Kenny Loggins","Kenny Loggins","","3:44","87"

"For Whom the Bell Tolls","Metallica","Ride the Lightning","1984","5:11",""

"Forget You","Ceelo Green","Ceelo Green","    ","3:43","127"

"Free Ride","Edgar Winter","Even More Dazed & Confused","1994","3:07","123"

"Funky Cold Medina","Tone-Loc","Old School Rap, Vol. 4","1999","4:06","117"

"Galvanize (Edit) (Dj cut 2022)","The Chemical Brothers","Galvanize","","4:09","104"

"Get Back (clean) - 172","Ludacris","Ludacris","","4:37","86"

"Get Down Tonight","KC & the Sunshine Band","The Best of KC & the Sunshine Band [Rhino 1990]","1990","3:13","112"

"Get Outta Your Mind (Radio Edit)","Lil Jon","Lil Jon","    ","4:16","100"

"Get Ready for This [Radio Edit]","2 Unlimited","Pulse","2001","3:41","125"

"Get Ready (8ct looper)","The Temptations","Hitsville USA: The Motown Singles Collection 1959-1971 Disc 4","1992","2:39","135"

"Get up Offa That Thing","James Brown","20 All-Time Greatest Hits!","1991","4:10","118"

"Ghostbusters","Ray Parker, Jr.","Only Rock 'N Roll 1980-1984: 20 Pop Hits","1996","4:05","115"

"Give it Away Now","Red Hot Chili Peppers","Red Hot Chili Peppers","    ","4:43","91"

"Going To A Go-Go","Smokey Robinson & The Miracles","Motown Gold - D1              ","2001","2:51","129"

"Good Feeling","Flo Rida","Wild Ones","    ","4:08","128"

"Good Golly Miss Molly - (82pm) (Douletime)","Little Richard","Specialty Records","1991","2:13","82"

"Got to Give It Up, Pt. 1","Marvin Gaye","Pure Disco [Polygram]","1996","4:08","123"

"Great Balls of Fire","Jerry Lee Lewis","Jerry Lee Lewis;","2007","1:53",""

"Gur Nalon Ishq Mitha (Doubletime)","DJ Rekha featuring Malkit Singh Remixed By Bally Sagoo","Basement Bhangra","2007","11:23","92"

"Halftime (Stand Up & Get Crunk!) [Clean] {120bpm}[135bpm break]","Ying Yang Twins & Homebwoi","Legendary Status: Ying Yang Twins Greatest Hits (Clean) [Clean]","2009","4:32","120"

"Hello Good Morning [Clean] (Radio Edit Clean) [feat. T.I.]","Diddy - Dirty Money","Hello Good Morning [Clean]","2010","4:05","104"

"Here We Go, Let's Rock & Roll [Clivilles & Cole Rockin' in 91 Mix]","C+C Music Factory","MTV Party to Go, Vol. 2","1992","5:47","113"

"Hey Bulldog (Remastered 2009)","The Beatles","Yellow Submarine (Remastered)","1969","3:11","101"

"Hey Ya!","Outkast","Speakerboxx","2006","4:11","159"

"Higher Ground (RHCP)","Red Hot Chile Peppers","Red Hot Chile Peppers","","3:20","141"

"Higher Ground","Stevie Wonder","Song Review: A Greatest Hits Collection Disc 2","1996","3:07","125"

"Highway To The Danger Zone","Kenny Loggins","Kenny Loggins","    ","3:34","157"

"Hit The Road Jack (doubletime)","Ray Charles","Ray Charles","    ","1:55","86"

"Hold On I'm Coming (Slow Start)","Sam and Dave","Sam & Dave","","2:34","109"

"Hot In Here","Nelly","Hot In Herre-(Promo Single)","2002","3:49","106"

"Hot Steppa","Ini Kamoze","Lyrical Gansta","1995","4:14","100"

"Houndog","Elvis Presley","Elvis Presley","1956","2:19",""

"Housequake (Class Edit)","Prince","Sign 'O' the Times Disc 1","","4:36",""

"Houses Of The Holy","Led Zeppelin","Led Zeplin - Physical Graffiti - Disc 1","","4:02","124"

"Howlin' For You ","The Black Keys","The Black Keys","2010","3:49","130"

"Humble. (doubletime)","Kendrick Lamar","NOW That's What I Call Music, Vol. 63","2017","2:56","150"

"I Get Around","Tupac /Digital Underground","Greatest Hits Disc 2","1998","4:19","96"

"I Get Knocked Down","Chumbawamba","Chumbawamba","    ","3:32","103"

"I Got the Feelin'","James Brown","20 All-Time Greatest Hits!","1991","2:38","128"

"I Got You (I Feel Good)","James Brown","20 All-Time Greatest Hits!","1991","2:46","143"

"I Gotta Feeling","The Black Eyed Peas","The Black Eyed Peas","2004","4:51","128"

"I Heard It Through The Grapevine [Zapp]","Zapp & Roger","Zapp & Roger","","6:45","118"

"I Just Cant Get Enough","Depeche Mode","Depeche Mode","    ","3:44","127"

"I Just Cant Get Enough","Depeche Mode","Catching Up","    ","3:44","127"

"I Just Want to Make Love to You (129)","Foghat","Even More Dazed & Confused","1994","4:19","129"

"I Like It, I Love It","Tim McGraw","I Like It, I Love It","    ","3:54","124"

"I Like It Like That","Tito Nieves","I Like It Like That","1997","3:49","128"

"I Love A Rainy Night","Eddie Rabbitt","Eddie Rabbitt","    ","3:13","132"

"I Saw Her Standing There","The Beatles","Please Please Me","1963","2:56","80"

"I Wish","Skee-Lo","Skee-Lo","    ","4:10","98"

"Ice Ice Baby","Vanilla Ice","Old School Rap, Vol. 4","1999","4:25","115"

"I'm A Believer (Soundtrack Version)","Smash Mouth","Shrek","2001","3:06",""

"I'm A Soul Man","Sam and Dave","The Very Best of Sam & Dave","1995","2:39","113"

"I'm Bad","L.L. Cool J","All World","1996","4:42",""

"I'm Gonna Be (500 Miles) (Remastered)","The Proclaimers","Im Gonna Be (500 Miles)","","3:32","132"

"I'm Shipping Up To Boston (130bpm)","Dropkick Murphys","Dropkick Murphys","2005","2:47","130"

"I'm Still Standing - 178 (slow start)","Elton John","Brit Awards 2012","2012","3:02","88"

"I'm Too Sexy","Right Said Fred","Maximum Dance Disc 2","2000","2:53","122"

"Im Walking (8ct looper)(Slow Start)","Fats Domino","Fats Domino","    ","2:13","109"

"In A Hick Town","Jason Aldean","Jason Aldean","    ","3:41","121"

"In The Ayer (feat. will.I.am)","Flo Rida","Mail On Sunday [Clean]","2008","3:41","126"

"In The Mood (Remastered February 1991)","Glenn Miller & His Orchestra","Glenn Miller--A Memorial (1944-1969)","1992","3:35",""

"It Takes Two","Rob Base & DJ E-Z Rock","Old School, Vol. 1","1994","5:00","111"

"It's Tricky (Dj Cut)","Run DMC","Greatest Hits","2002","3:09","127"

"Jailhouse Rock","Elvis Presley","All Time Greatest Hits [Disc 1]","1957","2:32",""

"Jam (Dj cut 2022)","Michael Jackson","Dangerous","1992","5:42","116"

"Jam on It (Short Version)","Newcleus","Freestyle's Greatest Collection Disc 1","1999","5:12","115"

"Jessie's Girl (Sound Balanced)","Rick Springfield","Pure 80's","1999","3:12","131"

"Johnny B. Goode (4 Phrasae) [84bpm]","Chuck Berry","Grandson of Frat Rock!, Vol. 3","1991","2:38","84"

"Joy To The World","Three Dog Night","Three Dog Night - The Complete Hit Singles","    ","3:19","129"

"Jungle Boogie","Kool & the Gang","Pure Funk","1998","3:04","106"

"Jungle Love ","The Time","Ice Cream Castle","1984","5:28","119"

"Just a Friend (Dj Cut)","Biz Markie","The Diabolical Biz","","4:10","85"

"Kickstart My Heart","Mötley Crüe","Dr. Feelgood (2003 Remastered)","    ","4:43","90"

"King of Rock","Run DMC","King of Rock","1985","5:13","98"

"Know Your Enemy","Green Day","Know Your Enemy (Single)","2009","3:11","130"

"La Bamba (Original)","Ritchie Valens","Hits From The 60 's","","2:06","153"

"Latin Active","A Lighter Shade of Brown","                              ","    ","5:57","120"

"Let It Rock (Dj Cut 2024)","Kevin Rudolf","Kevin Rudolf","","3:53","113"

"Let's Dance","David Bowie","Best of Bowie","2002","4:10","114"

"Let's Get It Started (Class Edit)","MC Hammer","MC Hammer","","4:08","115"

"Let's Go Crazy (4 phrase)","Prince & the Revolution","The Very Best of Prince","2001","4:40","98"

"Let's Groove","Earth, Wind & Fire","The Best of Earth, Wind & Fire, Vol. 2","1988","5:34","125"

"Life In The Fast Lane (HFO)","The Eagles","The Eagles","","6:01","112"

"Lifestyles Of The Rich And Famous (4 Phrase)","Good Charlotte","The Young And The Hopeless","","3:11","106"

"Lit","Trace Adkins","Something's Going On","2017","3:29","110"

"Livin' on a Prayer","Bon Jovi","Slippery When Wet","1986","4:09","122"

"Living After Midnight","Judas Priest","British Steel","1980","3:10","135"

"Louie, Louie","The Kingsmen","Frat Rock! [Box & Bonus Disc] Disc 1","1998","2:43","122"

"Love Rollercoaster","The Ohio Players","Pure Disco, Vol. 2","1997","2:54","114"

"Love Shack","The B-52's","Awesome 80's, Vols. 1-3","2003","4:18","134"

"Low Rider","War","War","1994","3:13","139"

"Lump (Dj Cut 2022)","Presidents Of The United States Of America","Presidents Of The United States Of America","","2:20","142"

"Magic Carpet Ride (Dj Special 2022)","Steppenwolf","All Time Greatest Hits","","4:10","111"

"Mambo No. 5 (A Little Bit Of)(Doubletime)MAKE 4 PHRASE","Lou Bega","Dance Hits (Disc 3)","    ","3:39","87"

"María (Pablo Flores Spanglish Radio Edit)","Ricky Martin","Ricky Martin","1999","4:31",""

"Me, Myself and I","De La Soul","New Millennium Hip-Hop Party","2000","3:39","114"

"Misty Mountain Hop {I really Don't know} (Remastered)","Led Zeppelin","Led Zeppelin IV (Remastered)","1971","4:39","132"

"Monster Mash","Bobby 'Boris' Pickett","TLM - Rock 'N' Roll Era - Weird, Wild, & Wacky","1991","3:11","139"

"Mony Mony - Tommy James And The Shondells","Tommy James And The Shondells","Tommy James And The Shondells: Anthology","2007","2:54","130"

"Mony Mony","Billy Idol","Billy Idol","","5:01","135"

"More Bounce (Heavy D)","Heavy D & the Boyz","Big Tyme","","4:57",""

"MotownPhilly","Boyz II Men","Logan 10 years","    ","3:59","114"

"Moves Like Jagger (feat. Christina Aguilera)","Maroon 5","Overexposed (Deluxe Edition)","    ","3:22","128"

"My Generation","The Who","The Who Sings My Generation","1965","3:19","94"

"My House (Superfan)","Rich Fagan and Chris Clark","Superfan","","3:05",""

"My Own Worst Enemy [Edited]","Lit","A Place In The Sun [Explicit]","1999","2:49",""

"My Perogotive ","Bobby Brown","Awesome 80's, Vols. 1-3","2003","3:31","110"

"My Sharona","The Knack","Entertainment Weekly: The Greatest Hits 1979","2000","4:04","147"

"Need You Tonight","INXS","Pure 80's Hits","2001","3:02","108"

"Never Gonna Give You Up (Dj Cut 2024)","Rick Astley","Hits Of The 80's - 60 Songs (Sony Music 2010), [Disc 4]","1987","3:49","113"

"No Diggity (93bpm) (slow start)","Blackstreet/Dr. Dre","Jock Jams, Vol. 3","1997","3:41","93"

"Nobody But Me","The Human Beinz","Frat Rock! [Box & Bonus Disc] Disc 1","1998","2:17","151"

"Nothin' But a Good Time","Poison","Open Up & Say... Ahh!","    ","3:45","129"

"Oh Yeah","Yellow","Stella","1985","3:02","133"

"Old Time Rock & Roll","Bob Seger & the Silver Bullet Band","Greatest Hits","1994","3:14","124"

"Old Town Road (Remix)","Lil Nas X feat. Billy Ray Cyrus","Old Town Road (Remix)","2019","2:37",""

"On The Road Again (8ct looper)","Willie Nelson","Willie Nelson","    ","2:28","111"

"Owner of a Lonely Heart (Intro Dj cut 2022)","Yes","Yes","","4:34","125"

"P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller","1982","3:59","127"

"Panama","Van Halen","1984","","3:30","142"

"Papa Loved Mama - 83","Garth Brooks","Garth Brooks","    ","2:52","82"

"Paradise City (Dj Special Tempo Adjusted)","Guns N' Roses","Appetite for Destruction","1987","6:44","100"

"Paranoid - 82","Black Sabbath","Dazed and Confused","1994","2:47","81"

"Party All The Time","Eddie Murphy","Party All The Time Cd Maxi","2008","5:18","134"

"Party Rock Anthem","LMFAO","Sorry For Party Rocking (Deluxe Edition)","    ","4:22","130"

"Pass the Dutchie (Doubletime)","Musical Youth","Just Can't Get Enough: New Wave Hits of the 80's, Vol. 7","1994","3:27","150"

"Paul Revere (Dj Cut 2.0)","Beastie Boys","Licence To Ill","","3:50","91"

"Play That Funky Music","Wild Cherry","Pure Disco, Vol. 2","1997","3:17","109"

"Pour Some Sugar On Me-remix - 170","Def Leppard","Def Leppard","    ","4:53","85"

"Pretty Fly (For A White Guy) (Edited) - 71.62","The Offspring","Americana [Explicit]","1998","3:09","143"

"Psychedelic Shack (Extended Version)(8ct looper)","The Temptations","Psychedelic Soul","2003","6:19","109"

"Pump It - 77","The Black Eyed Peas","Monkey Business","    ","3:33","153"

"Purple Haze(Slow_Start)","Jimi Hendrix","Experience Hendrix: The Best of Jimi Hendrix","1998","2:52","110"

"Rapper's Delight","The Sugarhill Gang","Old School Rap, Vol. 1 [Thump]","1994","14:14","111"

"Relax","Frankie goes hollywood","Awesome 80's, Vols. 1-3","2003","3:56","115"

"Ring 'Em","MC Hammer","Let's Get It Started","1988","4:19","118"

"Rio","Duran Duran","Decade: Greatest Hits","1989","5:34","140"

"Roadhouse Blues (8ct looper) (120bpm)","The Doors","The Doors (The Very Best Of Disc 2)","2007","4:07","120"

"Rock and Roll All Night (Original)","Kiss","Dazed and Confused","1994","2:57","145"

"Rock and Roll, Hoochie Koo","Rick Derringer","Dazed and Confused","1994","3:44","100"

"Rock Around The Clock","Bill Haley and the Comets","Billboard Top Rock &amp; Roll Hits: 1955","    ","2:14",""

"Rock the Bells","L.L. Cool J","All World: Greatest Hits","1996","4:01","98"

"Rockin Robin - (4 Phrase) [170bpm]","Bobby Day","You've Got Mail","","2:36","85"

"Rockit","Herbie Hancock","Mr. Funk","    ","5:25","111"

"Runaround Sue","Dion & The Belmonts","The Wanderer","1961","2:45",""

"Runs House (Class Edit)","Run-D.M.C.","Run-D.M.C.","","3:44",""

"Saturday Night_(SLow_Start)","Bay City Rollers","Bay City Rollers: The Definitive Collection","2000","2:54","137"

"Saturday Night’s Alright (For Fighting) (Remastered 2014) - 76","Elton John","Goodbye Yellow Brick Road (40th Anniversary Celebration / Deluxe)","2014","4:55","152"

"Save A Horse, Ride A Cowboy","Big And Rich","Horse Of A Different Color","2004","3:23","102"

"See You Later, Alligator","Bill Haley & His Comets","Best Of Bill Haley & His Comets: 20th Century Masters: The Millennium Collection","1956","2:44",""

"Semi-Charmed Life (radio edit)","Third Eye Blind","Third Eye Blind","","3:40","102"

"September","Earth, Wind & Fire","Entertainment Weekly: The Greatest Hits 1979","2000","3:38","126"

"Sgt. Pepper's Lonely Hearts Club Band","The Beatles","Sgt. Pepper's Lonely Hearts Club Band","1967","2:01","94"

"Shake Your Body (Down to the Ground)","The Jacksons","Destiny","1978","8:02","117"

"(Shake, Shake, Shake) Shake Your Booty","KC & the Sunshine Band","The Best of KC & the Sunshine Band [Rhino 1990]","1990","3:07","112"

"Sharp Dressed Man","ZZ Top","The Best of ZZ Top","1992","4:18","125"

"Shock the Monkey (Dj cut)","Peter Gabriel","Shaking the Tree: Sixteen Golden Greats","","3:57","148"

"Shotgun","Junior Walker & The All Stars","Shotgun","1965","2:57","121"

"Shout It Out Loud","Kiss","Destroyer","1976","2:49","135"

"Sing, Sing, Sing (With a Swing)","Benny Goodman & His Orchestra","Sing, Sing, Sing (With a Swing)","1938","5:02",""

"Sledgehammer (Dj Cut 2023)","Peter Gabriel","Shaking the Tree: Sixteen Golden Greats","1990","4:59","96"

"Slow Ride","Foghat","Dazed and Confused","1994","3:58","114"

"Small Town Throwdown [feat. Justin Moore]","Brantley Gilbert","Just As I Am (Platinum Edition)","2015","3:22","98"

"Smooth Criminal","Michael Jackson","Bad [Bonus Tracks]","2001","4:17",""

"Song 2 (2012 Remastered Version)","Blur","Blur","1997","2:01","129"

"Stacys Mom","Fountains Of Wayne","Fountains Of Wayne","","3:16","118"

"Start Me Up (Warped)","The Rolling Stones","Tattoo You","1981","3:32","122"

"Stomp!","The Brothers Johnson","Funk Classics: The 80's","1995","4:08","120"

"Stop the Rock (Apollo 440 Mix) (doubletime)","Apollo 440","Gettin' High On Your Own Supply","2000","3:32","150"

"Suavemente (Dj Cut)","Elvis Crespo","Suavemente","1998","4:20","124"

"Sussudio [12' Mix] (Dj Cut)","Phil Collins -Genesis","12''ers","1987","6:04","121"

"Sweet Child O' Mine","Guns N' Roses","Appetite for Destruction","1987","5:55","125"

"Sweet Home Alabama","Lynyrd Skynyrd","Billboard Top Rock & Roll Hits: 1974","1989","3:39","98"

"Swing Batter Swing","Trace Adkins","Trace Adkins","    ","3:17","108"

"T.N.T","AC/DC","AC/DC","2006","3:35","126"

"Take This Job And Shove It (Dj cut 2.0)","Johnny Paycheck","Country Music Classics Volume V (1975-1980)","","2:52","137"

"Teach Me How To Dougie (Clean Edit) - 170","California Swag District","California Swag District","2010","3:58","85"

"Tell Me When To Go (Edited Version)","E-40","Tell Me When To Go (DMD Single)","2006","4:02","107"

"Thank God I m A Country Boy (remastered)","John Denver","Thank God I m A Country Boy (remastered)","","3:22",""

"That's My Kind of Night","Luke Bryan","Luke Bryan","","3:09","110"

"That's the Way (I Like It)","KC & the Sunshine Band","The Best of KC & the Sunshine Band [Rhino 1990]","1990","3:05","109"

"The Bird (Original)","The Time","Ice Cream Castle","1984","7:44","127"

"The Breaks (Dj Cut) 2.0","Kurtis Blow","Funk Classics: The 80's","1995","7:53","113"

"The Devil Went Down to Georgia","Charlie Daniels Band","Charlie Daniels Band","","3:37","133"

"The Dukes Of Hazzard (slow start)","Waylon Jennings","The Dukes Of Hazzard","    ","2:09","148"

"The Gambler ","Kenny Rogers","Kenny Rogers","    ","3:31",""

"The Humpty Dance","Digital Underground","No Nose Job: The Legend of Digital Underground","2001","6:30","103"

"The Reflex (2010 Remaster)","Duran Duran","Seven and the Ragged Tiger (Deluxe Edition)","1983","5:30","126"

"The Rockafeller Skank","Fatboy Slim","Fat Joe ft Nelly ","1998","6:54","152"

"The Rubberband Man (FAST start)","The Spinners","The Very Best of the Spinners [Rhino]","1993","3:36","97"

"The Way You Make Me Feel","Michael Jackson","Bad [Bonus Tracks]","2001","4:57",""

"This Is How We Do It","Montell Jordan","This Is How We Do It","1995","4:37","103"

"Thrift Shop [Xtra Clean]","Macklemore & Ryan Lewis Feat. Wanz","PrimeCuts HP201246","2012","3:56","95"

"Thunderstruck","ACDC","The Very Best","2001","4:54","134"

"Time Bomb (doubletime)","Rancid","...And Out Come The Wolves","    ","2:24","82"

"Trampled Under Foot (Boost)","Led Zeppelin","Led Zeppelin","","5:36","111"

"Tutti Frutti","Little Richard","Rock And Roll - The Early Days","    ","2:23",""

"Twist and Shout","The Beatles","Please Please Me","1963","2:33","124"

"Two Princes","Spin Doctors","Pocket Full of Kryptonite","1991","4:17","103"

"Up Around The Bend (Class Edit)","Creedence Clearwater Revival","Creedence Clearwater Revival","","2:35","130"

"Uptown Funk [feat. Bruno Mars]","Mark Ronson","NOW That's What I Call A Workout 2016","2015","4:27","115"

"Wake Me Up Before You Go-Go - 81 [4 Phrase]","Wham!","Make It Big","1984","3:51","81"

"Walk It Out (clean) (doubletime)","UNK","Walk It Out ","    ","2:45","80"

"Walk This Way","Run DMC - Aerosmith","Monsters of Rap, Vol. 1","2000","3:41","105"

"Walking On The Sun (Dj cut)","Smash Mouth","Smash Mouth","","3:08","123"

"Wanna Be Startin' Somethin'","Michael Jackson","Thriller","1982","6:03","122"

"We Will Rock You {Solo Cut}","Queen ","Queen","    ","2:01","81"

"We Will Rock You cutwearechamps","Queen ","Queen","    ","5:03","81"

"Welcome To Jamrock [Clean]","Damian Marley","Welcome to Jamrock","2005","3:33",""

"Welcome to the Jungle","Guns N' Roses","Appetite for Destruction","1987","4:33","124"

"We're Not Gonna Take It","Twisted Sisters","Big Hits And Nasty Cuts","1992","3:39","148"

"What Makes You Beautiful","One Direction","Up All Night","2012","3:18","125"

"What'd I Say (Doubletime)(88bpm)","Ray Charles","Ray Charles","1959","6:27","88"

