
Title,Artist,Album,Year,Length,BPM
"Somebody Like You","Keith Urban","Keith Urban","    ","5:19","111"

"Somethin' 'bout A Truck","Kip Moore","Up All Night","2012","3:34","88"

"Stuck Like Glue","Sugarland","The Incredible Machine","2010","4:06","84"

"Suds In The Bucket","Sara Evans","Restless","2003","3:47","81"

"Summertime","Kenny Chesney","The Road And The Radio","2005","3:27","84"

"Swing Batter Swing","Trace Adkins","Trace Adkins","    ","3:17","108"

"Ten Rounds with Jose Quervo","Tracy Byrd","Ten Rounds","2001","3:02","127"

"Tequila Makes Her Clothes Fall Off (8ct Looper)","Joe Nichols","Joe Nichols","    ","3:07","94"

"These Boots Are Made for Walkin' (Jessic Simpson)","Jessica Simpson","These Boots Are Made for Walkin' EP","2005","3:41","92"

"Truck Yeah","Tim McGraw","Two Lanes of Freedom (Accelerated Deluxe)","2012","3:29","99"

"Twang","George Strait","Twang","2009","2:56","158"

"Up! (Red Version)(8ct looper)","Shania Twain","Up! (Red Album)","2002","2:53","126"

"Wagon Wheel","Darius Rucker","Darius Rucker","    ","3:58","148"

"What Was I Thinkin","Dierks Bentley","Dierks Bentley","    ","3:50","82"

"Where I Come From","Alan Jackson","When Somebody Loves You","2000","4:02","124"

"White Liar (DJ Special 2023)","Miranda Lambert","Revolution","2009","4:38","92"

"White Liar","Miranda Lambert","Revolution","2009","4:49","92"

"Young","Kenny Chesney","No Shoes, No Shirt, No Problems","2002","3:56","126"
